	PC1	PC2	PC3	PC4
Group:setosa	1.097560240e-01	-3.533117215e-02	-2.851281598e-02	-1.475231776e-02
Group:setosa	9.789401286e-02	6.399295375e-02	-4.152898487e-02	-6.098040220e-02
Group:setosa	1.118921345e-01	3.191274777e-02	1.357097369e-02	-1.569303331e-02
Group:setosa	1.079712066e-01	5.322038347e-02	2.267282841e-02	3.814038931e-02
Group:setosa	1.159576766e-01	-5.141561362e-02	-7.339533807e-04	2.083843359e-02
Group:setosa	1.033323003e-01	-1.239722034e-01	-2.925404505e-03	-2.824241442e-03
Group:setosa	1.163156281e-01	-5.612744171e-03	7.109227614e-02	2.436882091e-02
Group:setosa	1.074299126e-01	-1.393485949e-02	-1.986872790e-02	1.318697106e-02
Group:setosa	1.081034333e-01	9.627903968e-02	3.858770463e-02	1.633656556e-02
Group:setosa	1.034154864e-01	4.768721919e-02	-5.076335026e-02	1.988235884e-02
Group:setosa	1.068886185e-01	-8.109010245e-02	-6.241028422e-02	-1.176644719e-02
Group:setosa	1.113054537e-01	-8.622988301e-03	1.655422278e-02	7.671701122e-02
Group:setosa	1.042790080e-01	6.926088578e-02	-4.303479548e-02	-3.966619931e-03
Group:setosa	1.227393517e-01	8.302828707e-02	4.550486467e-02	1.244074460e-02
Group:setosa	1.111317738e-01	-1.479793145e-01	-1.063251405e-01	-1.144022668e-01
Group:setosa	1.156487656e-01	-2.258192494e-01	-8.807360927e-03	-2.720237778e-02
Group:setosa	1.097115663e-01	-1.236174955e-01	-4.756471092e-03	-1.064007766e-01
Group:setosa	1.061062076e-01	-3.789883011e-02	-9.024413357e-03	-5.294814684e-02
Group:setosa	9.531010638e-02	-1.107206521e-01	-8.615785376e-02	-3.785507007e-02
Group:setosa	1.149108124e-01	-9.434165372e-02	2.082216504e-02	2.326438144e-02
Group:setosa	9.329956420e-02	-2.491330973e-02	-9.088356268e-02	-1.029657408e-02
Group:setosa	1.077945223e-01	-7.812459613e-02	3.051429708e-02	-3.170424581e-02
Group:setosa	1.332776579e-01	-4.025980945e-02	6.936534810e-02	-7.466288869e-03
Group:setosa	8.708917799e-02	-5.730745823e-03	1.173315066e-02	-8.520299994e-02
Group:setosa	1.065210043e-01	-8.889019198e-03	1.792752272e-02	1.543994126e-01
Group:setosa	9.196920103e-02	6.111532574e-02	-5.859604359e-02	-2.801008779e-02
Group:setosa	9.853546341e-02	-1.915885237e-02	1.956584399e-02	-3.731055331e-02
