	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	9.784805420e-01	1.224639283e-01	-1.053591690e-01
Group:setosa	8.438090650e-01	3.491250203e-01	-1.977134000e-01
Group:setosa	9.016059997e-01	2.417910827e-01	-1.485162529e-01
Group:setosa	8.257936345e-01	3.325522999e-01	-1.633813022e-01
Group:setosa	9.961519446e-01	7.986170920e-02	-8.053938915e-02
Group:setosa	1.016641258e+00	-9.400571593e-02	7.392901669e-02
Group:setosa	9.153725425e-01	1.273665097e-01	-4.775598475e-02
Group:setosa	9.251223061e-01	1.910956459e-01	-1.206666310e-01
Group:setosa	7.864395507e-01	4.034272366e-01	-1.953234640e-01
Group:setosa	8.513811754e-01	3.761019361e-01	-2.321994084e-01
Group:setosa	1.024450978e+00	4.963899193e-02	-7.795195980e-02
Group:setosa	8.894354729e-01	2.171251445e-01	-1.111543130e-01
Group:setosa	8.429311982e-01	4.004746547e-01	-2.483916957e-01
Group:setosa	8.772118265e-01	3.438361539e-01	-2.270441705e-01
Group:setosa	1.191142037e+00	-1.582061605e-01	-3.656452661e-02
Group:setosa	1.202837345e+00	-3.668758065e-01	1.608634697e-01
Group:setosa	1.106457775e+00	-1.825237139e-01	7.215936603e-02
Group:setosa	9.727420568e-01	7.306429342e-02	-5.014592071e-02
Group:setosa	1.017941044e+00	-5.903861139e-03	-1.517391681e-02
Group:setosa	1.023151191e+00	-3.846286287e-02	1.115097370e-02
Group:setosa	9.066794552e-01	2.275546467e-01	-1.379216162e-01
Group:setosa	9.931249516e-01	-4.331027910e-02	4.607939479e-02
Group:setosa	1.059503054e+00	-8.562906083e-04	-6.416922924e-02
Group:setosa	8.453271894e-01	1.297579594e-01	2.103815946e-02
Group:setosa	8.220730849e-01	2.835136430e-01	-1.098270751e-01
Group:setosa	8.055171583e-01	3.914340198e-01	-2.013635273e-01
Group:setosa	8.911912065e-01	1.144258757e-01	-9.797721653e-03
Group:setosa	9.626427646e-01	1.426434282e-01	-1.094517090e-01
Group:setosa	9.608091393e-01	1.650661473e-01	-1.301789489e-01
Group:setosa	8.342436117e-01	3.081795812e-01	-1.471890149e-01
Group:setosa	8.165722090e-01	3.507818003e-01	-1.720087948e-01
Group:setosa	9.401107436e-01	8.449637805e-02	-2.837994488e-02
Group:setosa	1.114107777e+00	-7.527024853e-02	-4.295599387e-02
Group:setosa	1.174960232e+00	-1.972016001e-01	1.849481113e-02
Group:setosa	8.456426903e-01	3.267023012e-01	-1.769861601e-01
Group:setosa	9.439091848e-01	2.138115846e-01	-1.625635235e-01
Group:setosa	1.027400079e+00	9.253443058e-02	-1.239413923e-01
Group:setosa	9.952740778e-01	1.312113436e-01	-1.312176848e-01
Group:setosa	8.331814347e-01	3.367455185e-01	-1.754810495e-01
Group:setosa	9.317386580e-01	1.891456463e-01	-1.252015836e-01
Group:setosa	9.885798342e-01	5.288479347e-02	-4.605338073e-02
Group:setosa	6.640450192e-01	5.972614143e-01	-2.667965445e-01
Group:setosa	8.817569439e-01	2.476410814e-01	-1.349113950e-01
Group:setosa	9.040019908e-01	-2.892561254e-02	1.209136023e-01
Group:setosa	9.275961889e-01	6.555002876e-04	6.813387268e-02
Group:setosa	8.314542280e-01	3.016753850e-01	-1.379651990e-01
Group:setosa	1.006435547e+00	3.306627146e-02	-4.361986197e-02
Group:setosa	8.725355184e-01	2.658705818e-01	-1.435388876e-01
Group:setosa	1.017834626e+00	5.158899147e-02	-7.341700716e-02
Group:setosa	9.232886808e-01	2.135183650e-01	-1.413938709e-01
Group:versicolor	2.214798755e-01	3.565484581e-01	4.247808469e-01
Group:versicolor	2.209515375e-01	2.745898215e-01	5.063189858e-01
Group:versicolor	1.399290252e-01	3.979100404e-01	4.651290460e-01
Group:versicolor	6.656219543e-02	6.812615570e-01	2.519315543e-01
Group:versicolor	1.079627416e-01	4.729781959e-01	4.210871368e-01
Group:versicolor	8.896302573e-02	5.652479624e-01	3.464978486e-01
Group:versicolor	1.879761964e-01	2.268469667e-01	5.872368393e-01
Group:versicolor	2.255461991e-01	6.417017437e-01	1.306894638e-01
Group:versicolor	1.503438184e-01	5.252752474e-01	3.264105148e-01
Group:versicolor	1.605798023e-01	4.373735469e-01	4.014465569e-01
Group:versicolor	9.010327394e-02	8.622196175e-01	4.590002749e-02
Group:versicolor	2.066566565e-01	3.070557580e-01	4.870968565e-01
Group:versicolor	9.257165587e-02	8.642626824e-01	4.333221890e-02
Group:versicolor	8.906944429e-02	5.077551098e-01	4.047409390e-01
Group:versicolor	3.087215923e-01	3.234802479e-01	3.673359145e-01
Group:versicolor	2.447054531e-01	3.405621768e-01	4.167736396e-01
Group:versicolor	1.194452128e-01	3.792942551e-01	5.020289524e-01
