	MeanVip	StdVip	MinVipLimitCI95	MaxVipLimitCI95	MeanRegCoefGroup:Group:A	MeanRegCoefGroup:Group:B	MeanRegCoefGroup:Group:C	MeanRegCoefGroup:Group:D	MeanRegCoefGroup:Group:E	StdRegCoefGroup:Group:A	StdRegCoefGroup:Group:B	StdRegCoefGroup:Group:C	StdRegCoefGroup:Group:D	StdRegCoefGroup:Group:E	CorrelationGroup:Group:A	CorrelationGroup:Group:B	CorrelationGroup:Group:C	CorrelationGroup:Group:D	CorrelationGroup:Group:E	CorrelationPvalueGroup:Group:A	CorrelationPvalueGroup:Group:B	CorrelationPvalueGroup:Group:C	CorrelationPvalueGroup:Group:D	CorrelationPvalueGroup:Group:E
NADPH	1.732458563e+00	3.902542529e-03	1.724809580e+00	1.740107546e+00	8.187660523e-03	4.635234452e-01	3.988130399e-02	-5.095855834e-01	-2.006826339e-03	4.812079905e-03	6.722458737e-03	2.508748577e-03	4.250581722e-03	4.851512570e-03	-4.243610820e-01	8.347628149e-01	1.479071646e-01	-1.339478156e-01	-4.243610820e-01	1.942655935e-02	9.782502485e-09	4.353895608e-01	4.803884353e-01	1.942655935e-02
NADP_	1.482955788e+00	7.839573347e-03	1.467590225e+00	1.498321352e+00	3.434057308e-02	-7.434107047e-02	-2.722348930e-01	3.900351543e-01	-7.779976392e-02	3.734840741e-03	2.940211866e-03	2.051613531e-03	4.836256196e-03	3.580628893e-03	-4.998591374e-01	1.059991519e-01	1.949785925e-01	6.987405304e-01	-4.998591374e-01	4.913954203e-03	5.771954105e-01	3.018308894e-01	1.749909003e-05	4.913954203e-03
Lactate	1.385838059e+00	4.323595232e-03	1.377363812e+00	1.394312306e+00	2.265820911e-01	-8.436982359e-02	9.641449199e-02	-1.041863863e-03	-2.375848956e-01	2.592104652e-03	4.863569476e-03	1.032137033e-03	3.975968394e-03	2.736618861e-03	9.040175971e-01	-3.728973867e-01	-2.938716969e-02	-3.506495797e-01	-1.510834609e-01	7.606770160e-12	4.240513918e-02	8.774885199e-01	5.745960547e-02	4.254823365e-01
UDP_glucose	1.327873273e+00	6.912843473e-03	1.314324100e+00	1.341422447e+00	-1.165506422e-01	-1.913778870e-01	-5.814895857e-02	3.164078158e-01	4.966967206e-02	9.322390908e-04	1.005209641e-02	1.608121470e-02	8.310953489e-03	3.213293440e-03	-7.575675372e-01	7.852176805e-02	1.420855830e-01	5.234381813e-01	1.352200493e-02	1.252887267e-06	6.800136861e-01	4.538699986e-01	2.994380322e-03	9.434621424e-01
IMP	1.294712154e+00	2.156340583e-02	1.252447878e+00	1.336976429e+00	4.163910155e-02	1.195323870e-02	8.589591897e-02	-7.622247530e-02	-6.326578391e-02	5.671588746e-03	1.475426253e-02	1.553701924e-02	4.290064551e-03	9.167427883e-03	1.335864211e-01	3.481336607e-01	-2.038811961e-01	1.280945662e-01	-4.059334519e-01	4.815843067e-01	5.939734971e-02	2.798510674e-01	4.999439313e-01	2.603210540e-02
Aspartate	1.256359375e+00	5.523771231e-03	1.245532783e+00	1.267185966e+00	-1.318879420e-01	8.212113523e-02	1.845704440e-01	-2.718429947e-01	1.370393574e-01	1.370877230e-03	7.894610739e-04	5.863757957e-03	6.735841449e-03	3.031655839e-03	-2.670201090e-01	6.118762760e-02	-2.425393758e-01	-1.028973698e-01	5.512692270e-01	1.537427126e-01	7.480595899e-01	1.965724303e-01	5.884497223e-01	1.591793203e-03
Betaine	1.231962430e+00	8.314363723e-03	1.215666277e+00	1.248258583e+00	-3.117888623e-02	1.450559394e-02	1.969837949e-01	-2.260470768e-01	4.573657420e-02	6.571185436e-03	1.377448011e-02	8.903282035e-03	4.750847169e-03	6.457674255e-03	5.787101256e-02	-3.027831858e-01	4.539200631e-01	-1.335801557e-01	-7.542773423e-02	7.613118425e-01	1.038689289e-01	1.174976943e-02	4.816050529e-01	6.919979615e-01
Glutamate	1.208827488e+00	2.121045004e-03	1.204670240e+00	1.212984736e+00	-6.001418762e-02	6.454082793e-02	-2.470278070e-01	1.746688167e-01	6.783235002e-02	2.563005321e-03	4.164378828e-03	1.086645347e-03	4.434253925e-03	3.909598884e-03	-5.549100841e-01	1.214194898e-01	-1.315976542e-01	2.700632431e-01	2.950250054e-01	1.459556473e-03	5.227222055e-01	4.881925327e-01	1.489299586e-01	1.134862247e-01
NADH	1.191908067e+00	8.818664403e-03	1.174623485e+00	1.209192650e+00	3.407707532e-02	2.642691635e-01	6.103781897e-02	-2.864872994e-01	-7.289675845e-02	3.234911735e-03	4.734971698e-03	5.535143224e-03	1.502708746e-03	3.936497121e-03	-5.217904330e-01	6.693826948e-01	3.096632790e-01	6.453489216e-02	-5.217904330e-01	3.103403343e-03	5.233227450e-05	9.586402577e-02	7.347558538e-01	3.103403343e-03
Glutamine	1.139460904e+00	7.827273585e-03	1.124119448e+00	1.154802360e+00	1.075990210e-01	9.163069270e-04	-4.088145183e-02	7.819334106e-02	-1.458272172e-01	3.275685792e-03	1.442168456e-03	4.314425315e-03	5.845115684e-03	3.232775083e-03	1.169288873e-01	2.156513216e-01	-4.309057347e-01	-1.884530738e-02	1.171708332e-01	5.383242286e-01	2.524118343e-01	1.744311788e-02	9.212632521e-01	5.374780268e-01
