	AdjR2Y_Group:Group:A	AdjR2Y_Group:Group:B	AdjR2Y_Group:Group:C	AdjR2Y_Group:Group:D	AdjR2Y_Group:Group:E
PC1	1.334066389e-01	-2.204441093e-01	-2.944382743e-01	-3.168049457e-01	-6.380175349e-02
PC2	7.257937925e-01	-2.059165459e-01	-1.849058556e-01	-2.865068241e-01	5.858823415e-01
PC3	7.796863471e-01	5.981857634e-01	1.124267904e-01	-1.441391882e-01	6.284282880e-01
PC4	8.182287052e-01	6.565991492e-01	2.709441374e-01	4.422491955e-01	7.322740583e-01
PC5	8.447009667e-01	6.571653489e-01	5.097070621e-01	5.931426924e-01	8.144603678e-01
PC6	9.110019758e-01	6.828090578e-01	5.276628857e-01	7.036398535e-01	9.019373516e-01
PC7	9.253767773e-01	7.588496721e-01	6.641087332e-01	7.042027370e-01	9.044362500e-01
PC8	9.315300182e-01	7.824691196e-01	7.630373990e-01	7.361160070e-01	9.136988444e-01
PC9	9.433533872e-01	8.075888520e-01	7.665285494e-01	7.925478135e-01	9.215770994e-01
PC10	9.573141830e-01	8.410761580e-01	7.669355938e-01	8.451472303e-01	9.556843216e-01
