	MSEP_Y_Group:Group:A	MSEP_Y_Group:Group:B	MSEP_Y_Group:Group:C	MSEP_Y_Group:Group:D	MSEP_Y_Group:Group:E
PC1	6.612247608e-01	8.752307990e-01	9.206995438e-01	9.304883740e-01	8.135332354e-01
PC2	2.839502173e-01	9.124772769e-01	9.162150665e-01	9.321890199e-01	4.181093238e-01
PC3	2.559302018e-01	4.676882098e-01	7.916546878e-01	9.661954253e-01	4.065146951e-01
PC4	2.395842568e-01	3.909177790e-01	8.123654979e-01	7.461321088e-01	3.471641981e-01
PC5	2.215524646e-01	3.924430204e-01	8.560378006e-01	7.514715807e-01	3.016675826e-01
PC6	1.881489170e-01	4.050708944e-01	8.789183987e-01	7.473149310e-01	2.554037649e-01
PC7	1.758078984e-01	3.978223302e-01	8.821568826e-01	7.409653891e-01	2.543833053e-01
PC8	1.589701434e-01	4.212244724e-01	1.012361387e+00	8.040531803e-01	2.400450162e-01
PC9	1.428237257e-01	4.579071102e-01	9.937028787e-01	8.518819022e-01	2.113054274e-01
PC10	1.383497906e-01	5.084274701e-01	1.048169614e+00	9.490185279e-01	1.857814182e-01
