	Q2Y_Group:Group:A	Q2Y_Group:Group:B	Q2Y_Group:Group:C	Q2Y_Group:Group:D	Q2Y_Group:Group:E
PC1	3.608160646e-01	1.539435610e-01	1.099904410e-01	1.005279051e-01	2.135845391e-01
PC2	7.255147899e-01	1.179386324e-01	1.143254357e-01	9.888394746e-02	5.958276537e-01
PC3	7.526008049e-01	5.479013972e-01	2.347338018e-01	6.601108883e-02	6.070357947e-01
PC4	7.684018851e-01	6.221128136e-01	2.147133521e-01	2.787389615e-01	6.644079418e-01
PC5	7.858326175e-01	6.206384136e-01	1.724967927e-01	2.735774720e-01	7.083880035e-01
PC6	8.181227135e-01	6.084314687e-01	1.503788812e-01	2.775955667e-01	7.531096939e-01
PC7	8.300523649e-01	6.154384142e-01	1.472483468e-01	2.837334572e-01	7.540961382e-01
PC8	8.463288614e-01	5.928163434e-01	2.138399219e-02	2.227485924e-01	7.679564843e-01
PC9	8.619370651e-01	5.573564601e-01	3.942055056e-02	1.765141612e-01	7.957380868e-01
PC10	8.662618691e-01	5.085201122e-01	-1.323062696e-02	8.261542302e-02	8.204112957e-01
