	Group:Group:A	Group:Group:B	Group:Group:C	Group:Group:D	Group:Group:E
Group:Group:E_1P	6.818548794e-02	1.288415445e-02	-6.264372282e-02	-1.060948402e-02	1.009053789e+00
Group:Group:E_2P	2.406272492e-03	4.765559983e-02	1.482239803e-01	-2.029045825e-01	9.645781317e-01
Group:Group:E_3P	-8.033914997e-02	-3.753970243e-03	-1.150445863e-01	1.214510024e-01	1.019810800e+00
Group:Group:E_4P	6.619160221e-03	-1.366951986e-01	1.157101774e-01	-3.166915286e-03	9.500063223e-01
Group:Group:E_5P	1.262398358e-01	6.790973719e-02	-7.440549751e-02	5.379331183e-02	8.863086825e-01
Group:Group:E_6P	1.261711917e-01	7.164432198e-02	-2.158263727e-01	2.058832988e-01	8.324747566e-01
Group:Group:A_1P	1.013326359e+00	-1.273132741e-01	1.029062052e-02	-1.832524373e-01	8.511930363e-02
Group:Group:A_2P	9.319830067e-01	-2.980518883e-02	-3.371243798e-03	4.132131584e-02	-1.511492525e-02
Group:Group:A_3P	8.827454124e-01	7.037444375e-02	-1.994438740e-02	-9.145547291e-02	1.577704471e-01
Group:Group:A_4P	1.029989818e+00	-1.381745452e-01	1.347361968e-01	-4.039978596e-03	-8.671123419e-02
Group:Group:A_5P	9.950945796e-01	5.983745436e-03	-1.289257671e-01	1.343042950e-01	2.870019187e-02
Group:Group:A_6P	8.929378400e-01	1.713292771e-01	1.858073726e-03	-1.480957367e-01	7.589442973e-02
Group:Group:B_1P	5.062659729e-02	7.377778343e-01	4.070893844e-01	-1.586656294e-01	-1.384130258e-03
Group:Group:B_2P	-2.054318164e-01	1.033029812e+00	1.977934111e-01	-2.851740829e-01	2.044021989e-01
Group:Group:B_3P	7.298241496e-02	9.853044920e-01	-8.250307107e-02	6.311479337e-02	-7.336754610e-02
Group:Group:B_4P	-1.532994222e-02	7.004707091e-01	1.148178013e-01	2.195322304e-01	8.436786144e-02
Group:Group:B_5P	4.380392032e-02	7.896521116e-01	-3.101843655e-03	1.970730340e-01	-2.063133132e-02
Group:Group:B_6P	1.247706712e-02	9.571444734e-01	-1.482556874e-01	1.984294707e-01	-1.550437603e-01
Group:Group:C_1P	3.953875925e-02	3.046734335e-02	9.984999595e-01	-5.853233415e-02	-1.543265214e-02
Group:Group:C_2P	3.449472416e-02	3.156328297e-02	6.937899245e-01	2.933045379e-01	2.375891953e-02
Group:Group:C_3P	1.329106513e-01	4.629262978e-01	7.244065190e-01	-5.129220349e-02	-1.179008851e-01
Group:Group:C_4P	-1.162936526e-01	-2.545592235e-01	1.009812262e+00	3.508188727e-01	8.779081931e-02
Group:Group:C_5P	1.226806259e-02	1.501413505e-01	6.920952867e-01	2.367191298e-01	-2.004475833e-02
Group:Group:C_6P	6.016408196e-02	9.522906335e-02	9.278764002e-01	2.918007738e-02	-7.370716069e-02
Group:Group:D_1P	1.416588606e-01	1.018787741e-02	-2.053740026e-01	1.106607220e+00	-1.523899273e-01
Group:Group:D_2P	-1.619210447e-01	8.824709217e-02	1.676654134e-01	7.987411837e-01	1.777132516e-01
Group:Group:D_3P	-8.044704249e-02	2.848174873e-02	3.955185668e-02	8.702234253e-01	1.393529367e-01
Group:Group:D_4P	2.726229257e-02	2.193832627e-01	1.961732933e-01	6.427545259e-01	-8.168957933e-02
Group:Group:D_5P	-1.096399026e-01	1.633831345e-01	-1.589603225e-02	8.517928354e-01	1.181449184e-01
Group:Group:D_6P	6.551615497e-02	-2.408697649e-01	4.949016536e-01	7.821442968e-01	-3.182987013e-02
