	Group:Group:A	Group:Group:B	Group:Group:C	Group:Group:D	Group:Group:E
Group:Group:E_1P	6.855263285e-02	1.383929651e-02	-6.971085069e-02	-2.235313964e-02	1.009672061e+00
Group:Group:E_2P	3.246189898e-03	4.854692695e-02	1.675169872e-01	-1.854741374e-01	9.661640334e-01
Group:Group:E_3P	-7.522635754e-02	-1.036295533e-03	-9.587863576e-02	1.424729327e-01	1.029668356e+00
Group:Group:E_4P	1.314017959e-02	-1.289853467e-01	1.372676559e-01	1.920774154e-02	9.593697696e-01
Group:Group:E_5P	1.194543938e-01	6.260372241e-02	-8.736414710e-02	2.851304961e-02	8.767929813e-01
Group:Group:E_6P	1.247384166e-01	6.898196161e-02	-2.185159941e-01	1.943791548e-01	8.304164611e-01
Group:Group:A_1P	1.024843342e+00	-1.059623510e-01	7.788196071e-02	-9.923475731e-02	1.024718053e-01
Group:Group:A_2P	9.353665844e-01	-1.850760236e-02	2.168720762e-02	7.163953878e-02	-1.018572846e-02
Group:Group:A_3P	8.765787079e-01	7.152213062e-02	-1.001752303e-02	-8.685782220e-02	1.487745067e-01
Group:Group:A_4P	1.032586247e+00	-1.302099551e-01	1.600288609e-01	2.230641827e-02	-8.471157084e-02
Group:Group:A_5P	9.901343866e-01	2.701697260e-03	-1.338913127e-01	1.200704937e-01	2.098473508e-02
Group:Group:A_6P	8.893477380e-01	1.731168723e-01	1.116810844e-02	-1.440512164e-01	7.041849757e-02
Group:Group:B_1P	4.885540137e-02	7.347745549e-01	3.929391943e-01	-1.726096534e-01	-3.959497122e-03
Group:Group:B_2P	-1.932740190e-01	1.044965349e+00	1.989199222e-01	-2.731327706e-01	2.225215185e-01
Group:Group:B_3P	7.471163138e-02	9.919267306e-01	-7.529210809e-02	8.013433470e-02	-7.148058861e-02
Group:Group:B_4P	-2.416374597e-02	6.901860333e-01	8.208624597e-02	1.804953898e-01	7.139607690e-02
Group:Group:B_5P	4.659976617e-02	7.901772234e-01	-1.047089812e-02	1.901553798e-01	-1.646147124e-02
Group:Group:B_6P	3.168943643e-02	9.764574943e-01	-1.254796532e-01	2.470358531e-01	-1.297031306e-01
Group:Group:C_1P	4.627502950e-02	2.747360673e-02	9.951448129e-01	-6.585529243e-02	-3.038156707e-03
Group:Group:C_2P	3.033093927e-02	2.215232262e-02	6.674136554e-01	2.617627905e-01	1.834029218e-02
Group:Group:C_3P	1.176066541e-01	4.463594959e-01	6.840080895e-01	-1.066778900e-01	-1.412963495e-01
Group:Group:C_4P	-1.224083450e-01	-2.660998094e-01	9.889245761e-01	3.179562135e-01	8.162736474e-02
Group:Group:C_5P	2.859567398e-03	1.413489456e-01	6.749349960e-01	2.161784361e-01	-3.532194501e-02
Group:Group:C_6P	5.380740057e-02	9.169500525e-02	9.188794252e-01	1.827364920e-02	-8.265548022e-02
Group:Group:D_1P	1.510737297e-01	1.862224179e-02	-1.795946788e-01	1.148716817e+00	-1.388181100e-01
Group:Group:D_2P	-1.675922322e-01	7.774652283e-02	1.471140446e-01	7.737609937e-01	1.689706711e-01
Group:Group:D_3P	-8.037291064e-02	2.655762737e-02	3.980884246e-02	8.747787021e-01	1.392277387e-01
Group:Group:D_4P	2.689057979e-02	2.189380112e-01	1.909045263e-01	6.460214109e-01	-8.275452820e-02
Group:Group:D_5P	-1.061976790e-01	1.627398813e-01	-2.572409677e-02	8.456978184e-01	1.234840760e-01
Group:Group:D_6P	6.054633486e-02	-2.526322934e-01	4.753107866e-01	7.566895608e-01	-3.991438876e-02
