	P-Value	-Log10[P-Value]	Adj-P-Value	-Log10[Adj-P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
UDP_glucuronate	2.242029148e-03	2.649358745e+00	1.945649779e-01	7.109353310e-01	4.157756984e+00	4.157756984e+00	1.418295542e+00	5.041581903e-01
Inosine	2.325089736e-03	2.633560281e+00	1.945649779e-01	7.109353310e-01	4.481563347e+00	4.481563347e+00	2.095586148e+00	1.067353831e+00
NADPH	2.872972341e-03	2.541668555e+00	1.945649779e-01	7.109353310e-01	4.298505881e+00	4.298505881e+00	2.200233727e+00	1.137656787e+00
Lactate	2.079489239e-02	1.682043323e+00	8.658371763e-01	6.256377088e-02	-2.854477889e+00	2.854477889e+00	5.419032239e-01	-8.838928649e-01
AMP	2.364419440e-02	1.626275479e+00	8.658371763e-01	6.256377088e-02	2.708492331e+00	2.708492331e+00	1.151783584e+00	2.038696644e-01
Leucine	2.557013381e-02	1.592266999e+00	8.658371763e-01	6.256377088e-02	2.735105411e+00	2.735105411e+00	1.188116922e+00	2.486768184e-01
Tyrosine	3.357757588e-02	1.473950661e+00	9.555357576e-01	1.975305636e-02	2.556687137e+00	2.556687137e+00	1.173671930e+00	2.310291957e-01
Glucose	3.788481921e-02	1.421534781e+00	9.555357576e-01	1.975305636e-02	2.409637438e+00	2.409637438e+00	1.246467475e+00	3.178452376e-01
Alanine	4.478065280e-02	1.348909580e+00	9.555357576e-01	1.975305636e-02	-2.457505944e+00	2.457505944e+00	6.224741995e-01	-6.839140538e-01
NAD_	5.890787440e-02	1.229826648e+00	9.555357576e-01	1.975305636e-02	-2.231250217e+00	2.231250217e+00	8.403551468e-01	-2.509289334e-01
Betaine	5.898946889e-02	1.229225514e+00	9.555357576e-01	1.975305636e-02	-2.215848653e+00	2.215848653e+00	4.245813955e-01	-1.235886939e+00
Glutamine	6.121930461e-02	1.213111608e+00	9.555357576e-01	1.975305636e-02	2.161846909e+00	2.161846909e+00	1.443457487e+00	5.295286177e-01
NADH	6.304153561e-02	1.200373217e+00	9.555357576e-01	1.975305636e-02	2.134642450e+00	2.134642450e+00	1.432639136e+00	5.186752587e-01
Methanol	6.584465106e-02	1.181479499e+00	9.555357576e-01	1.975305636e-02	2.069272637e+00	2.069272637e+00	1.413542062e+00	4.993148137e-01
Formate	8.137004499e-02	1.089535444e+00	1.102117189e+00	-4.222777588e-02	1.990799814e+00	1.990799814e+00	1.218579131e+00	2.851999389e-01
Creatine	1.075509374e-01	9.683858001e-01	1.343604165e+00	-1.282713416e-01	-1.840714433e+00	1.840714433e+00	7.972879414e-01	-3.268272457e-01
Glutamate	1.143024282e-01	9.419445436e-01	1.343604165e+00	-1.282713416e-01	1.752484092e+00	1.752484092e+00	1.151004750e+00	2.028937878e-01
Isoleucine	1.190390269e-01	9.243106321e-01	1.343604165e+00	-1.282713416e-01	1.734254689e+00	1.734254689e+00	1.162392393e+00	2.170971666e-01
Acetate	1.257524216e-01	9.004836429e-01	1.344674704e+00	-1.286172349e-01	1.732090675e+00	1.732090675e+00	1.272452254e+00	3.476115232e-01
IMP	1.372183729e-01	8.625877349e-01	1.393916466e+00	-1.442367483e-01	1.651765500e+00	1.651765500e+00	1.564205395e+00	6.454299648e-01
Aspartate	1.827581557e-01	7.381232332e-01	1.701808487e+00	-2.309106851e-01	1.480511595e+00	1.480511595e+00	1.335454646e+00	4.173309811e-01
Valine	1.842802900e-01	7.345211129e-01	1.701808487e+00	-2.309106851e-01	1.426236940e+00	1.426236940e+00	1.114075564e+00	1.558470897e-01
Glutathione	2.604431642e-01	5.842870370e-01	2.300592003e+00	-3.618396058e-01	-1.220902049e+00	1.220902049e+00	9.193249117e-01	-1.213532598e-01
