	P-Value	-Log10[P-Value]	Adj-P-Value	-Log10[Adj-P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
Lactate	7.727407112e-07	6.111966207e+00	1.569958860e-04	3.804111728e+00	-1.101768237e+01	1.101768237e+01	3.731831979e-01	-1.422044063e+00
Acetate	8.299360881e-04	3.080955351e+00	8.430806711e-02	1.074130867e+00	-5.216064455e+00	5.216064455e+00	6.321814872e-01	-6.615893068e-01
UDP_glucose	7.650576331e-03	2.116305847e+00	5.181164445e-01	2.855726234e-01	3.448405901e+00	3.448405901e+00	1.740342886e+00	7.993715771e-01
IMP	1.275103550e-02	1.894454545e+00	6.129668389e-01	2.125630199e-01	-3.048021272e+00	3.048021272e+00	5.899872023e-01	-7.612444343e-01
Glucose	1.508524978e-02	1.821447494e+00	6.129668389e-01	2.125630199e-01	-2.941494483e+00	2.941494483e+00	7.253446971e-01	-4.632613416e-01
Alanine	2.712450054e-02	1.566638250e+00	7.202138594e-01	1.425385255e-01	-2.772212765e+00	2.772212765e+00	7.452133497e-01	-4.242745760e-01
Glutamate	2.821413081e-02	1.549533324e+00	7.202138594e-01	1.425385255e-01	2.773612952e+00	2.773612952e+00	1.678729030e+00	7.473693779e-01
Tyrosine	2.835939637e-02	1.547303017e+00	7.202138594e-01	1.425385255e-01	-2.666314590e+00	2.666314590e+00	8.060213751e-01	-3.111099964e-01
Aspartate	3.974185067e-02	1.400751913e+00	8.971396611e-01	4.713994343e-02	2.518140770e+00	2.518140770e+00	1.928883880e+00	9.477662951e-01
Fumarate	6.173093089e-02	1.209497174e+00	1.185536858e+00	-7.391506066e-02	2.178369289e+00	2.178369289e+00	1.332797554e+00	4.144576577e-01
Malate	6.418791473e-02	1.192546733e+00	1.185536858e+00	-7.391506066e-02	2.117215176e+00	2.117215176e+00	1.341820705e+00	4.241919109e-01
Succinate	7.564357970e-02	1.121227927e+00	1.280693796e+00	-1.074453056e-01	1.990547107e+00	1.990547107e+00	1.480955892e+00	5.665286725e-01
Inosine	9.736626370e-02	1.011591495e+00	1.420525333e+00	-1.524489833e-01	1.872552558e+00	1.872552558e+00	1.538304581e+00	6.213411817e-01
Ethanol	9.788644137e-02	1.009277460e+00	1.420525333e+00	-1.524489833e-01	1.895067647e+00	1.895067647e+00	1.877118930e+00	9.085200586e-01
Uracil	1.354462856e-01	8.682329002e-01	1.834553239e+00	-2.635303195e-01	-1.642127287e+00	1.642127287e+00	7.881513612e-01	-3.434553750e-01
Hypoxanthine	1.956198087e-01	7.085871701e-01	2.483975604e+00	-3.951473261e-01	1.387635527e+00	1.387635527e+00	1.135066608e+00	1.827769605e-01
Isoleucine	2.214697805e-01	6.546855247e-01	2.541514269e+00	-4.050925523e-01	-1.347312707e+00	1.347312707e+00	8.598149849e-01	-2.179018410e-01
Valine	2.251700263e-01	6.474894214e-01	2.541514269e+00	-4.050925523e-01	-1.363199505e+00	1.363199505e+00	8.435237607e-01	-2.454993874e-01
Leucine	2.510816176e-01	6.001850821e-01	2.551202280e+00	-4.067448944e-01	-1.255075057e+00	1.255075057e+00	8.652541708e-01	-2.088041042e-01
Glucose_6_phosphate	2.511426146e-01	6.000795888e-01	2.551202280e+00	-4.067448944e-01	1.228669128e+00	1.228669128e+00	1.264462346e+00	3.385240760e-01
Creatine	2.767345937e-01	5.579365477e-01	2.677309854e+00	-4.276986364e-01	-1.151129150e+00	1.151129150e+00	9.024828118e-01	-1.480286394e-01
Phenylalanine	2.937938731e-01	5.319572654e-01	2.713154546e+00	-4.334745326e-01	-1.125345487e+00	1.125345487e+00	8.776958815e-01	-1.882069572e-01
Glucose_1_phosphate	3.735302734e-01	4.276741943e-01	3.050395236e+00	-4.843561140e-01	9.369765256e-01	9.369765256e-01	1.573534386e+00	6.540087055e-01
Cholate	3.798774527e-01	4.203564828e-01	3.050395236e+00	-4.843561140e-01	-9.626074167e-01	9.626074167e-01	7.172677732e-02	-3.801344378e+00
Methanol	3.942787392e-01	4.041966409e-01	3.050395236e+00	-4.843561140e-01	-8.952199697e-01	8.952199697e-01	6.062063447e-01	-7.221191432e-01
Glycine	3.965020816e-01	4.017545284e-01	3.050395236e+00	-4.843561140e-01	8.867290907e-01	8.867290907e-01	1.069644779e+00	9.713176826e-02
Maltose	4.098149352e-01	3.874122183e-01	3.050395236e+00	-4.843561140e-01	-8.725697173e-01	8.725697173e-01	6.639536270e-01	-5.908456130e-01
Histidine	4.203970565e-01	3.763403334e-01	3.050395236e+00	-4.843561140e-01	8.544435600e-01	8.544435600e-01	1.064766956e+00	9.053770404e-02
Betaine	4.360765324e-01	3.604372844e-01	3.055056148e+00	-4.850191965e-01	-8.131373777e-01	8.131373777e-01	8.549522765e-01	-2.260842039e-01
Niacinamide	4.539681382e-01	3.429746270e-01	3.074387439e+00	-4.877585971e-01	7.856527229e-01	7.856527229e-01	1.038196048e+00	5.407890082e-02
UDP_glucuronate	4.885061288e-01	3.111299832e-01	3.199835397e+00	-5.051276383e-01	7.307964443e-01	7.307964443e-01	1.115353946e+00	1.575016068e-01
Formate	5.039914140e-01	2.975768622e-01	3.199835397e+00	-5.051276383e-01	7.042104374e-01	7.042104374e-01	1.060005862e+00	8.407224256e-02
Ascorbat	6.415528615e-01	1.927675536e-01	3.916872522e+00	-5.929394373e-01	-4.818340215e-01	4.818340215e-01	9.293765982e-01	-1.056647768e-01
AMP	6.554866870e-01	1.834361244e-01	3.916872522e+00	-5.929394373e-01	-4.668974098e-01	4.668974098e-01	8.492920180e-01	-2.356674040e-01
Lysine	6.929374898e-01	1.593059415e-01	4.022355885e+00	-6.044804929e-01	-4.089204951e-01	4.089204951e-01	9.554199211e-01	-6.579313668e-02
Uridine	7.181125559e-01	1.438074797e-01	4.052700391e+00	-6.077444983e-01	-3.719641778e-01	3.719641778e-01	9.180702585e-01	-1.233235298e-01
Taurine	7.598358547e-01	1.192802170e-01	4.092705274e+00	-6.120104711e-01	3.141989472e-01	3.141989472e-01	1.048806334e+00	6.874830383e-02
Methionine	7.654901185e-01	1.160604111e-01	4.092705274e+00	-6.120104711e-01	-3.067997499e-01	3.067997499e-01	9.514480753e-01	-7.180317040e-02
Glutathione	9.571404225e-01	1.902434202e-02	4.986152186e+00	-6.977655298e-01	-5.539130616e-02	5.539130616e-02	9.854613818e-01	-2.112875880e-02
