	P-Value	-Log10[P-Value]	Adj-P-Value	-Log10[Adj-P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
Niacinamide	1.638555915e-07	6.785538734e+00	3.329014945e-05	4.477684255e+00	4.094626071e+01	4.094626071e+01	Inf	Inf
ADP	2.004922023e-06	5.697902514e+00	2.036676112e-04	3.691078030e+00	-2.475877036e+01	2.475877036e+01	0.000000000e+00	-Inf
AMP	3.693432475e-06	5.432569837e+00	2.501286203e-04	3.601836612e+00	-1.128727793e+01	1.128727793e+01	1.797954658e-01	-2.475571457e+00
NAD_	8.135198481e-06	5.089631847e+00	4.132022148e-04	3.383837359e+00	-1.866092142e+01	1.866092142e+01	0.000000000e+00	-Inf
Formate	1.262767465e-05	4.898676616e+00	5.131069042e-04	3.289792142e+00	8.495394458e+00	8.495394458e+00	1.945085042e+00	9.598332336e-01
Hypoxanthine	1.843764692e-05	4.734294506e+00	6.243221198e-04	3.204591278e+00	1.580630569e+01	1.580630569e+01	Inf	Inf
Acetate	6.459953558e-05	4.189770604e+00	1.874933352e-03	2.727014165e+00	8.430702957e+00	8.430702957e+00	2.046577851e+00	1.033213548e+00
Tyrosine	8.529546896e-05	4.069074039e+00	2.119754084e-03	2.673714519e+00	6.517576952e+00	6.517576952e+00	1.608618900e+00	6.858225760e-01
Lysine	9.390171223e-05	4.027326489e+00	2.119754084e-03	2.673714519e+00	6.307769393e+00	6.307769393e+00	2.015314449e+00	1.011004960e+00
NADH	1.303220985e-04	3.884981935e+00	2.145660269e-03	2.668439040e+00	-1.058081539e+01	1.058081539e+01	0.000000000e+00	-Inf
NADP_	1.319074650e-04	3.879730626e+00	2.145660269e-03	2.668439040e+00	-1.055428377e+01	1.055428377e+01	0.000000000e+00	-Inf
Glucose_6_phosphate	1.349873328e-04	3.869706984e+00	2.145660269e-03	2.668439040e+00	1.050381155e+01	1.050381155e+01	Inf	Inf
Succinate	1.372934546e-04	3.862350167e+00	2.145660269e-03	2.668439040e+00	-1.025626755e+01	1.025626755e+01	6.625456540e-02	-3.915836320e+00
Leucine	1.631045680e-04	3.787533876e+00	2.366968986e-03	2.625807433e+00	6.472410078e+00	6.472410078e+00	1.588017249e+00	6.672265831e-01
Glycine	2.221254864e-04	3.653401608e+00	3.008580329e-03	2.521638388e+00	7.734562519e+00	7.734562519e+00	1.641708604e+00	7.151980783e-01
Glucose	3.200975119e-04	3.494717702e+00	4.064590470e-03	2.390983205e+00	7.241100553e+00	7.241100553e+00	2.789356807e+00	1.479932492e+00
Isoleucine	5.487152224e-04	3.260652991e+00	6.557715419e-03	2.183247434e+00	4.988929510e+00	4.988929510e+00	1.512987149e+00	5.973997338e-01
Uracil	7.000342887e-04	3.154880687e+00	7.537976378e-03	2.122745228e+00	7.420576908e+00	7.420576908e+00	Inf	Inf
Malate	7.049428246e-04	3.151846106e+00	7.537976378e-03	2.122745228e+00	6.940911354e+00	6.940911354e+00	3.404665935e+00	1.767513248e+00
Methionine	8.419345800e-04	3.074721653e+00	8.552691959e-03	2.067897170e+00	6.196449764e+00	6.196449764e+00	3.232279683e+00	1.692552037e+00
Valine	9.934606794e-04	3.002849317e+00	9.611382627e-03	2.017214133e+00	5.120627157e+00	5.120627157e+00	1.519629880e+00	6.037199843e-01
UDP_glucuronate	3.100549197e-03	2.508561373e+00	2.825389475e-02	1.548921677e+00	-4.494322621e+00	4.494322621e+00	5.937859814e-01	-7.519850614e-01
Uridine	3.198539220e-03	2.495048320e+00	2.825389475e-02	1.548921677e+00	5.297527435e+00	5.297527435e+00	Inf	Inf
Histidine	5.056239198e-03	2.296172389e+00	4.280266876e-02	1.368529152e+00	3.858997568e+00	3.858997568e+00	1.326137559e+00	4.072304323e-01
Glutathione	6.997541291e-03	2.155054530e+00	5.342373652e-02	1.272265740e+00	-3.700674215e+00	3.700674215e+00	5.153169016e-01	-9.564681835e-01
Phenylalanine	6.998977802e-03	2.154965384e+00	5.342373652e-02	1.272265740e+00	3.389947808e+00	3.389947808e+00	1.439446096e+00	5.255137640e-01
Inosine	7.099757990e-03	2.148756455e+00	5.342373652e-02	1.272265740e+00	4.261267181e+00	4.261267181e+00	3.265794017e+00	1.707433799e+00
NADPH	9.684830588e-03	2.013907972e+00	7.027299700e-02	1.153211524e+00	-4.064639962e+00	4.064639962e+00	0.000000000e+00	-Inf
UDP_glucose	1.345105118e-02	1.871243775e+00	9.423510223e-02	1.025787294e+00	-2.997956218e+00	2.997956218e+00	7.804485381e-01	-3.576245893e-01
Methanol	2.311118965e-02	1.636177699e+00	1.565148414e-01	8.054444745e-01	-2.979981511e+00	2.979981511e+00	4.331062115e-01	-1.207207232e+00
Glucose_1_phosphate	2.611548825e-02	1.583101850e+00	1.711555296e-01	7.666090652e-01	3.124622816e+00	3.124622816e+00	Inf	Inf
IMP	3.890926935e-02	1.409946924e+00	2.470344810e-01	6.072424239e-01	-2.452388381e+00	2.452388381e+00	5.924598826e-01	-7.552106272e-01
Alanine	4.093488614e-02	1.387906413e+00	2.520194884e-01	5.985658743e-01	2.392867454e+00	2.392867454e+00	1.288858862e+00	3.660942879e-01
Lactate	7.112420842e-02	1.147982554e+00	4.250039904e-01	3.716069923e-01	2.027266612e+00	2.027266612e+00	1.465621660e+00	5.515127298e-01
Aspartate	8.060073907e-02	1.093660976e+00	4.678702797e-01	3.298745414e-01	2.071843047e+00	2.071843047e+00	1.625960213e+00	7.012919553e-01
Maltose	1.093256555e-01	9.612779099e-01	6.169842364e-01	2.097259318e-01	1.945303650e+00	1.945303650e+00	Inf	Inf
Ascorbat	1.210889125e-01	9.168956213e-01	6.649012255e-01	1.772428666e-01	-1.712012410e+00	1.712012410e+00	7.220104587e-01	-4.699083595e-01
ATP	1.261346804e-01	8.991654889e-01	6.743811045e-01	1.710946067e-01	-1.833891516e+00	1.833891516e+00	0.000000000e+00	-Inf
Ethanol	1.686322475e-01	7.730593718e-01	8.784772115e-01	5.626950001e-02	1.539433915e+00	1.539433915e+00	1.587898975e+00	6.671191288e-01
Fumarate	1.892194950e-01	7.230341209e-01	9.610818298e-01	1.723963342e-02	1.456275204e+00	1.456275204e+00	1.189924580e+00	2.508701347e-01
Creatine	2.067110126e-01	6.846363856e-01	1.024316660e+00	-1.043423653e-02	1.353149827e+00	1.353149827e+00	1.124733837e+00	1.695836342e-01
