	P-Value	-Log10[P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
AMP	1.992459450e-09	8.700610508e+00	-2.058490515e+01	2.058490515e+01	2.076707715e-01	-2.267629916e+00
Lactate	1.311399634e-07	6.882264942e+00	1.339352261e+01	1.339352261e+01	4.142373655e+00	2.050457695e+00
NAD_	1.541156603e-06	5.812153229e+00	-2.610541901e+01	2.610541901e+01	0.000000000e+00	-Inf
Niacinamide	2.288816782e-06	5.640388971e+00	2.410703708e+01	2.410703708e+01	Inf	Inf
Hypoxanthine	2.220681746e-05	4.653513677e+00	1.521902992e+01	1.521902992e+01	Inf	Inf
UDP_glucuronate	3.632194549e-05	4.439830898e+00	-7.542377729e+00	7.542377729e+00	4.311053409e-01	-1.213887659e+00
Uracil	3.776192791e-05	4.422945841e+00	1.365599176e+01	1.365599176e+01	Inf	Inf
Acetate	4.895555120e-05	4.310198055e+00	1.085979292e+01	1.085979292e+01	3.221970272e+00	1.687943183e+00
Succinate	7.223558640e-05	4.141248797e+00	-1.174957669e+01	1.174957669e+01	4.286066978e-02	-4.544201795e+00
Glucose	1.252572413e-04	3.902197158e+00	9.578805496e+00	9.578805496e+00	3.272463984e+00	1.710377314e+00
ADP	1.370137138e-04	3.863235962e+00	-1.047134672e+01	1.047134672e+01	0.000000000e+00	-Inf
Tyrosine	1.769363187e-04	3.752183013e+00	7.711807618e+00	7.711807618e+00	2.077959801e+00	1.055167745e+00
Malate	1.819290016e-04	3.740098064e+00	7.280915228e+00	7.280915228e+00	3.522859029e+00	1.816746745e+00
NADPH	2.892660481e-04	3.538702538e+00	-8.956459901e+00	8.956459901e+00	0.000000000e+00	-Inf
Alanine	3.634341573e-04	3.439574258e+00	6.240764073e+00	6.240764073e+00	2.370268812e+00	1.245050684e+00
NADH	3.861600958e-04	3.413232607e+00	-8.426105440e+00	8.426105440e+00	0.000000000e+00	-Inf
Glutathione	4.208168980e-04	3.375906829e+00	-6.310923069e+00	6.310923069e+00	5.139339476e-01	-9.603451433e-01
Uridine	7.291381695e-04	3.137190166e+00	7.355708718e+00	7.355708718e+00	Inf	Inf
Glycine	1.058830613e-03	2.975173511e+00	6.203464837e+00	6.203464837e+00	1.613088992e+00	6.898260324e-01
Glutamate	1.415883724e-03	2.848972410e+00	-4.600359900e+00	4.600359900e+00	6.493111782e-01	-6.230180486e-01
Lysine	1.834114633e-03	2.736573524e+00	4.942904433e+00	4.942904433e+00	1.997648063e+00	9.983024378e-01
Phenylalanine	2.081130276e-03	2.681700733e+00	4.118832043e+00	4.118832043e+00	2.247281916e+00	1.168181119e+00
Formate	2.211488810e-03	2.655315254e+00	5.017098042e+00	5.017098042e+00	1.698204883e+00	7.640105262e-01
Maltose	2.497554105e-03	2.602485095e+00	5.605409868e+00	5.605409868e+00	Inf	Inf
Glucose_6_phosphate	2.499566693e-03	2.602135271e+00	5.604385826e+00	5.604385826e+00	Inf	Inf
ATP	3.375612047e-03	2.471647472e+00	-5.232186539e+00	5.232186539e+00	0.000000000e+00	-Inf
Isoleucine	4.227170576e-03	2.373950227e+00	4.643236573e+00	4.643236573e+00	1.845238968e+00	8.838076649e-01
Creatine	4.277526862e-03	2.368807254e+00	3.832253876e+00	3.832253876e+00	1.407426658e+00	4.930597441e-01
Histidine	4.490502022e-03	2.347705104e+00	3.669556882e+00	3.669556882e+00	1.492873276e+00	5.780917065e-01
Leucine	4.514626010e-03	2.345378221e+00	4.751642633e+00	4.751642633e+00	1.903937621e+00	9.289862121e-01
UDP_glucose	4.669358578e-03	2.330742774e+00	-4.109051161e+00	4.109051161e+00	5.547078297e-01	-8.502000056e-01
Methionine	5.136830434e-03	2.289304770e+00	4.343163142e+00	4.343163142e+00	2.224026244e+00	1.153173812e+00
Valine	6.845171003e-03	2.164615698e+00	4.188858952e+00	4.188858952e+00	1.922410715e+00	9.429165944e-01
NADP_	7.267378581e-03	2.138622215e+00	-4.363343142e+00	4.363343142e+00	0.000000000e+00	-Inf
Inosine	1.302561909e-02	1.885201626e+00	3.675316267e+00	3.675316267e+00	2.211041597e+00	1.144726167e+00
Glucose_1_phosphate	3.483570896e-02	1.457975346e+00	2.873893502e+00	2.873893502e+00	Inf	Inf
