	P-Value	-Log10[P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
Niacinamide	1.638555915e-07	6.785538734e+00	4.094626071e+01	4.094626071e+01	Inf	Inf
NAD_	1.541156603e-06	5.812153229e+00	-2.610541901e+01	2.610541901e+01	0.000000000e+00	-Inf
Formate	1.720111985e-06	5.764443278e+00	1.058107521e+01	1.058107521e+01	1.800107130e+00	8.480827688e-01
UDP_glucuronate	4.723068983e-06	5.325775711e+00	-1.001639805e+01	1.001639805e+01	4.808350431e-01	-1.056386052e+00
AMP	5.753769035e-06	5.240047575e+00	-1.204942288e+01	1.204942288e+01	1.763731286e-01	-2.503297320e+00
Valine	6.341107841e-06	5.197834861e+00	8.590341013e+00	8.590341013e+00	1.621599116e+00	6.974172070e-01
Hypoxanthine	1.843764692e-05	4.734294506e+00	1.580630569e+01	1.580630569e+01	Inf	Inf
Tyrosine	5.109865295e-05	4.291590548e+00	7.407012092e+00	7.407012092e+00	1.674880016e+00	7.440577486e-01
Acetate	6.192730491e-05	4.208117820e+00	8.334584446e+00	8.334584446e+00	2.036869958e+00	1.026353876e+00
Succinate	7.784915133e-05	4.108746118e+00	-1.147841082e+01	1.147841082e+01	6.347476143e-02	-3.977673122e+00
Lysine	1.108537372e-04	3.955249661e+00	6.535234165e+00	6.535234165e+00	1.908592755e+00	9.325093011e-01
Glucose_6_phosphate	1.349873328e-04	3.869706984e+00	1.050381155e+01	1.050381155e+01	Inf	Inf
ADP	1.370137138e-04	3.863235962e+00	-1.047134672e+01	1.047134672e+01	0.000000000e+00	-Inf
Isoleucine	1.382519280e-04	3.859328804e+00	6.797356926e+00	6.797356926e+00	1.586564115e+00	6.659058239e-01
Glycine	1.809880925e-04	3.742349997e+00	8.450002890e+00	8.450002890e+00	1.725432219e+00	7.869578007e-01
Alanine	1.988658825e-04	3.701439718e+00	5.702729566e+00	5.702729566e+00	1.766355961e+00	8.207761083e-01
Leucine	2.173016018e-04	3.662937072e+00	7.587027924e+00	7.587027924e+00	1.647389967e+00	7.201821079e-01
NADPH	2.892660481e-04	3.538702538e+00	-8.956459901e+00	8.956459901e+00	0.000000000e+00	-Inf
Malate	3.070436921e-04	3.512799820e+00	7.571227662e+00	7.571227662e+00	4.727045187e+00	2.240938656e+00
NADH	3.861600958e-04	3.413232607e+00	-8.426105440e+00	8.426105440e+00	0.000000000e+00	-Inf
Histidine	3.938842164e-04	3.404631422e+00	5.882600237e+00	5.882600237e+00	1.589562134e+00	6.686294105e-01
Glucose	6.967348141e-04	3.156932488e+00	6.679511296e+00	6.679511296e+00	2.373664397e+00	1.247115973e+00
Uracil	7.000342887e-04	3.154880687e+00	7.420576908e+00	7.420576908e+00	Inf	Inf
Methionine	3.112352127e-03	2.506911273e+00	4.670803150e+00	4.670803150e+00	2.116045489e+00	1.081370642e+00
Uridine	3.198539220e-03	2.495048320e+00	5.297527435e+00	5.297527435e+00	Inf	Inf
ATP	3.375612047e-03	2.471647472e+00	-5.232186539e+00	5.232186539e+00	0.000000000e+00	-Inf
Phenylalanine	4.384274703e-03	2.358102242e+00	3.963185583e+00	3.963185583e+00	1.972430082e+00	9.799741613e-01
Methanol	4.997889382e-03	2.301213360e+00	-3.662123429e+00	3.662123429e+00	3.470971342e-01	-1.526588641e+00
Glutathione	6.714689435e-03	2.172974069e+00	-4.137035505e+00	4.137035505e+00	5.064620581e-01	-9.814739021e-01
Inosine	6.873378618e-03	2.162829732e+00	4.373843247e+00	4.373843247e+00	3.401255417e+00	1.766067349e+00
NADP_	7.267378581e-03	2.138622215e+00	-4.363343142e+00	4.363343142e+00	0.000000000e+00	-Inf
Creatine	2.303462884e-02	1.637618781e+00	2.723534920e+00	2.723534920e+00	1.270178367e+00	3.450311046e-01
Glucose_1_phosphate	2.611548825e-02	1.583101850e+00	3.124622816e+00	3.124622816e+00	Inf	Inf
Lactate	3.069159163e-02	1.512980589e+00	2.514231328e+00	2.514231328e+00	1.545864247e+00	6.284136323e-01
IMP	4.838243575e-02	1.315312271e+00	-2.425884499e+00	2.425884499e+00	5.072771660e-01	-9.791538728e-01
