	P-Value	-Log10[P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
Niacinamide	5.503148846e-10	9.259388741e+00	3.509492305e+01	3.509492305e+01	7.196963140e+01	6.169316364e+00
Valine	1.759588086e-06	5.754588987e+00	9.891589089e+00	9.891589089e+00	1.806583950e+00	8.532642967e-01
Formate	2.637965740e-06	5.578730849e+00	9.949975297e+00	9.949975297e+00	2.193572983e+00	1.133282708e+00
Succinate	4.644314943e-06	5.333078337e+00	-1.922536340e+01	1.922536340e+01	5.910723697e-02	-4.080521408e+00
AMP	9.029880931e-06	5.044317976e+00	-9.433001381e+00	9.433001381e+00	2.031436741e-01	-2.299427655e+00
Acetate	1.306467088e-05	4.883901526e+00	7.905824098e+00	7.905824098e+00	2.591819769e+00	1.373965399e+00
Hypoxanthine	1.843764692e-05	4.734294506e+00	1.580630569e+01	1.580630569e+01	Inf	Inf
NAD_	1.936244893e-05	4.713039715e+00	-1.564969694e+01	1.564969694e+01	0.000000000e+00	-Inf
Leucine	2.081832172e-05	4.681554284e+00	8.519713255e+00	8.519713255e+00	1.957291898e+00	9.688589263e-01
Isoleucine	3.114456983e-05	4.506617663e+00	7.186422179e+00	7.186422179e+00	1.844210059e+00	8.830029905e-01
Tyrosine	3.515974371e-05	4.453954299e+00	1.007910334e+01	1.007910334e+01	1.965759660e+00	9.750869443e-01
Lysine	6.971752412e-05	4.156658044e+00	7.112673232e+00	7.112673232e+00	2.032044566e+00	1.022932043e+00
Glycine	7.998835843e-05	4.096973216e+00	7.447068609e+00	7.447068609e+00	1.691378026e+00	7.581991411e-01
Glucose_6_phosphate	1.349873328e-04	3.869706984e+00	1.050381155e+01	1.050381155e+01	Inf	Inf
Malate	1.878688119e-04	3.726145311e+00	7.311616965e+00	7.311616965e+00	4.869064797e+00	2.283644700e+00
Phenylalanine	2.068804468e-04	3.684280554e+00	6.101390133e+00	6.101390133e+00	1.787137919e+00	8.376509756e-01
NADH	2.731691676e-04	3.563568321e+00	-9.065051860e+00	9.065051860e+00	0.000000000e+00	-Inf
Glucose	2.825328051e-04	3.548931119e+00	7.506912543e+00	7.506912543e+00	2.958695467e+00	1.564961210e+00
NADPH	6.522546811e-04	3.185582795e+00	-7.534323009e+00	7.534323009e+00	0.000000000e+00	-Inf
Uracil	7.000342887e-04	3.154880687e+00	7.420576908e+00	7.420576908e+00	Inf	Inf
ADP	8.190129642e-04	3.086709224e+00	-7.173261028e+00	7.173261028e+00	0.000000000e+00	-Inf
NADP_	1.033539615e-03	2.985672872e+00	-6.819585620e+00	6.819585620e+00	0.000000000e+00	-Inf
Glutathione	2.369316779e-03	2.625376870e+00	-4.402934054e+00	4.402934054e+00	4.656031869e-01	-1.102827162e+00
Inosine	2.688177993e-03	2.570541979e+00	5.259965919e+00	5.259965919e+00	7.127623736e+00	2.833421180e+00
Uridine	3.198539220e-03	2.495048320e+00	5.297527435e+00	5.297527435e+00	Inf	Inf
Histidine	3.551247572e-03	2.449619050e+00	4.214820676e+00	4.214820676e+00	1.410259158e+00	4.959603055e-01
Methionine	3.763087319e-03	2.424455704e+00	3.764544026e+00	3.764544026e+00	2.173410991e+00	1.119961013e+00
UDP_glucuronate	8.409516419e-03	2.075228977e+00	-3.557442871e+00	3.557442871e+00	6.819661980e-01	-5.522278617e-01
ATP	2.254271767e-02	1.646993728e+00	-3.256106505e+00	3.256106505e+00	0.000000000e+00	-Inf
Glucose_1_phosphate	2.611548825e-02	1.583101850e+00	3.124622816e+00	3.124622816e+00	Inf	Inf
Fumarate	2.947654832e-02	1.530523373e+00	2.558426002e+00	2.558426002e+00	1.697443993e+00	7.633639740e-01
Glutamine	3.637442146e-02	1.439203906e+00	2.415428499e+00	2.415428499e+00	1.375912157e+00	4.603883660e-01
Aspartate	4.260047804e-02	1.370585527e+00	2.588333430e+00	2.588333430e+00	1.876730686e+00	9.082216360e-01
