	Mean Group:Group:B	Std Group:Group:B	Q2 Group:Group:B	IQR Group:Group:B
AMP	3.075376021e+00	2.170502791e-01	3.120225135e+00	4.360196250e-01
ADP	1.323539201e+00	3.096063747e-01	1.278987438e+00	3.672500000e-01
ATP	1.515599348e-01	7.095398893e-02	1.219918734e-01	1.068857725e-01
Acetate	1.019075803e+00	1.334871607e-01	1.066839102e+00	1.681674556e-01
Alanine	1.926864474e+00	4.577568543e-01	1.744203097e+00	4.768714090e-01
Ascorbat	8.486089483e-01	1.403267849e-01	8.393526255e-01	2.905597633e-01
Aspartate	7.600331878e-01	2.883643667e-01	6.334076245e-01	1.908125376e-01
Betaine	1.849870221e+00	1.311688570e+00	1.596312085e+00	9.661129870e-01
Cholate	1.815716551e-02	2.087874994e-02	1.239187117e-02	4.105900621e-02
Creatine	2.240871763e-01	3.230635137e-02	2.386973395e-01	6.163049200e-02
Ethanol	9.917907358e+01	8.898849634e+01	8.710179824e+01	1.144704450e+02
Formate	1.528218291e-01	1.704254899e-02	1.539267958e-01	2.562156540e-02
Fumarate	2.845246443e-01	1.334751343e-01	2.549699829e-01	8.490139470e-02
Glucose	3.004345206e+01	3.755805541e+00	2.936811648e+01	4.845514870e+00
Glucose_1_phosphate	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Glucose_6_phosphate	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Glutamate	4.202178452e+00	4.336377319e-01	4.201773603e+00	4.601486740e-01
Glutamine	6.738132447e+00	1.993831116e+00	6.039107325e+00	2.164816831e+00
Glutathione	5.874497084e+00	4.513664666e-01	5.948526705e+00	3.629504800e-01
Glycine	2.726796296e+00	1.556595048e-01	2.737436200e+00	2.285646160e-01
Histidine	6.422889518e-01	1.375131844e-01	6.127208429e-01	1.772374375e-01
Hypoxanthine	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
IMP	4.111231962e-01	1.905143462e-01	3.557877836e-01	3.769587839e-01
Inosine	2.685517394e-01	3.596706312e-02	2.805308357e-01	4.874596910e-02
Isoleucine	2.546269748e-01	2.690775795e-02	2.468698485e-01	3.582163600e-02
Lactate	4.604414251e+00	1.722387032e+00	5.302042691e+00	2.785178365e+00
Leucine	5.103256955e-01	3.631898521e-02	5.048149594e-01	4.682836200e-02
Lysine	5.622424847e-01	1.094756376e-01	5.435182005e-01	1.531675029e-01
Malate	6.714060463e-01	2.293650224e-01	5.914522670e-01	1.039385753e-01
Maltose	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Methanol	1.728785724e+01	4.503883467e+00	1.639482603e+01	7.181849210e+00
Methionine	1.313025518e-01	2.557384905e-02	1.282347359e-01	4.931762330e-02
NAD_	1.087829087e+00	1.020717649e-01	1.117606198e+00	8.377018800e-02
NADP_	1.066186734e-01	5.985349726e-02	1.267795493e-01	6.664041838e-02
NADH	1.696360995e-01	4.931363471e-02	1.452484589e-01	6.199006440e-02
NADPH	2.247736568e-01	6.147303430e-02	2.400337831e-01	1.110139723e-01
Niacinamide	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Phenylalanine	1.331955197e-01	7.007202377e-02	1.474429752e-01	4.744277830e-02
Succinate	1.234070539e+00	2.454438624e-01	1.271891580e+00	4.237576707e-01
Taurine	2.634795108e+01	6.238981251e+00	2.848350282e+01	1.281152835e+01
Tyrosine	2.293088497e-01	2.804633350e-02	2.177097062e-01	4.888973280e-02
UDP_glucose	7.072992068e-01	7.615559708e-02	6.892987082e-01	8.954957110e-02
UDP_glucuronate	6.079195262e-01	6.443689976e-02	6.004358364e-01	1.182274457e-01
Uracil	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Uridine	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Valine	4.551463367e-01	5.592824474e-02	4.398849014e-01	7.459958630e-02
