	Mean Group:Group:C	Std Group:Group:C	Q2 Group:Group:C	IQR Group:Group:C
AMP	2.670098849e+00	2.953432244e-01	2.597078718e+00	3.634381210e-01
ADP	1.158218950e+00	3.955028860e-01	1.046878190e+00	3.834002402e-01
ATP	1.077263855e-01	8.103994016e-02	9.605133044e-02	9.980379039e-02
Acetate	8.008754745e-01	2.782077657e-01	7.749081811e-01	4.190868455e-01
Alanine	3.095492914e+00	1.071100393e+00	3.030396808e+00	1.857525634e+00
Ascorbat	9.635538407e-01	4.854673754e-01	1.107465733e+00	2.152832260e-01
Aspartate	5.691194306e-01	1.289049063e-01	5.510065809e-01	1.505858044e-01
Betaine	4.356927177e+00	2.441341726e+00	4.621973338e+00	3.716696398e+00
Cholate	1.497510116e-01	2.874966642e-01	3.431976171e-02	1.818500389e-02
Creatine	2.810617904e-01	6.859025550e-02	2.631261871e-01	9.747685370e-02
Ethanol	8.130629435e+01	7.878846069e+01	3.791853779e+01	1.271947475e+02
Formate	1.254098525e-01	2.910529106e-02	1.120275383e-01	3.838623830e-02
Fumarate	2.423796668e-01	1.265409502e-01	1.806619324e-01	1.947834469e-01
Glucose	2.410287686e+01	4.728776595e+00	2.259076080e+01	5.558280630e+00
Glucose_1_phosphate	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Glucose_6_phosphate	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Glutamate	3.650878461e+00	6.369689262e-01	3.796294989e+00	7.204819890e-01
Glutamine	4.668050502e+00	1.235345457e+00	5.094070360e+00	1.414342874e+00
Glutathione	6.390011854e+00	9.305872007e-01	6.358144816e+00	1.645424417e+00
Glycine	2.781697592e+00	3.091670411e-01	2.711290667e+00	5.070489070e-01
Histidine	7.239507653e-01	1.544085283e-01	7.847571091e-01	1.704924249e-01
Hypoxanthine	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
IMP	2.628319768e-01	1.098370521e-01	2.499203349e-01	1.155752535e-01
Inosine	1.281511331e-01	6.778801932e-02	1.436228781e-01	1.256603001e-01
Isoleucine	2.190542336e-01	4.243093354e-02	2.207301895e-01	2.626154700e-02
Lactate	8.496746371e+00	2.861750894e+00	8.062282538e+00	4.584329787e+00
Leucine	4.295248101e-01	6.258883214e-02	4.290369467e-01	7.648934040e-02
Lysine	5.280848417e-01	1.027189362e-01	5.199163188e-01	1.158252261e-01
Malate	6.518226501e-01	3.331981245e-01	4.622332985e-01	4.658200362e-01
Maltose	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Methanol	1.223016824e+01	3.944531692e+00	1.111292517e+01	2.510403756e+00
Methionine	1.278369226e-01	6.538241949e-02	1.194306290e-01	3.144658455e-02
NAD_	1.294487327e+00	2.026130884e-01	1.313891950e+00	2.459565600e-01
NADP_	1.222772359e-01	4.392009307e-02	1.173946117e-01	5.079281982e-02
NADH	1.184081149e-01	3.199534514e-02	1.220028566e-01	5.525771762e-02
NADPH	1.021589907e-01	3.321299067e-02	8.737937593e-02	5.979306254e-02
Niacinamide	2.286381323e-02	5.600467600e-02	0.000000000e+00	0.000000000e+00
Phenylalanine	1.470053582e-01	2.568285565e-02	1.524689974e-01	2.917501880e-02
Succinate	1.325257905e+00	1.570155863e-01	1.359784700e+00	1.489115380e-01
Taurine	2.285232707e+01	5.900772965e+00	2.211211578e+01	8.519989310e+00
Tyrosine	1.953772974e-01	1.643865204e-02	1.892715198e-01	2.808724690e-02
UDP_glucose	7.312436927e-01	6.380426562e-02	7.062484697e-01	1.043512573e-01
UDP_glucuronate	4.286268328e-01	8.369685366e-02	4.509486604e-01	1.288850463e-01
Uracil	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Uridine	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Valine	4.085417105e-01	5.725912087e-02	3.870705282e-01	3.661567520e-02
