	Mean Group:Group:E	Std Group:Group:E	Q2 Group:Group:E	IQR Group:Group:E
AMP	5.424136903e-01	4.669365772e-01	3.293346993e-01	8.718633881e-01
ADP	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
ATP	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Acetate	2.075724888e+00	2.803898154e-01	2.196281638e+00	5.342685980e-01
Alanine	3.403528549e+00	4.390419257e-01	3.429669613e+00	8.406363820e-01
Ascorbat	6.950877327e-01	2.207608179e-01	6.915694542e-01	2.788720177e-01
Aspartate	1.068083899e+00	4.542635589e-01	1.062410113e+00	8.980470182e-01
Betaine	2.603128605e+00	1.044692936e+00	2.507150366e+00	2.178183900e+00
Cholate	5.376207103e-02	5.380723175e-02	4.277446663e-02	1.701182371e-02
Creatine	2.846306837e-01	4.383230614e-02	2.812721073e-01	3.896772620e-02
Ethanol	1.114740358e+02	6.020366287e+01	1.320558859e+02	1.107444510e+02
Formate	2.750956643e-01	2.260053800e-02	2.757256132e-01	1.871952640e-02
Fumarate	4.114259096e-01	1.009072726e-01	4.049650388e-01	1.700509070e-01
Glucose	7.131307251e+01	1.466083160e+01	7.138580620e+01	2.157225512e+01
Glucose_1_phosphate	2.373827350e+01	1.860917649e+01	1.766671065e+01	9.536076010e+00
Glucose_6_phosphate	2.211172970e+01	5.156457239e+00	2.149512576e+01	5.772161470e+00
Glutamate	4.580448152e+00	1.499083521e+00	4.061611980e+00	1.293064610e+00
Glutamine	6.422827434e+00	1.280866919e+00	6.368631316e+00	1.438167594e+00
Glutathione	2.975209884e+00	1.656230455e+00	2.612681975e+00	2.895595533e+00
Glycine	4.704902184e+00	5.518820081e-01	4.655807608e+00	7.266898530e-01
Histidine	1.020958197e+00	7.714874284e-02	1.016797055e+00	9.280349200e-02
Hypoxanthine	2.798278289e+00	4.336468054e-01	2.787968798e+00	3.684175840e-01
IMP	2.085534099e-01	7.443968169e-02	1.977798146e-01	1.256509448e-01
Inosine	9.134130584e-01	3.593471281e-01	9.131964493e-01	4.908277320e-01
Isoleucine	4.039820210e-01	4.661246399e-02	4.120421703e-01	8.612488240e-02
Lactate	7.117799371e+00	1.740501302e+00	7.354702834e+00	3.186197710e+00
Leucine	8.407054308e-01	1.002901433e-01	8.378382871e-01	2.144131005e-01
Lysine	1.073091933e+00	1.570890531e-01	1.157860364e+00	2.830687992e-01
Malate	3.173766719e+00	7.764082809e-01	3.100446873e+00	1.305444671e+00
Maltose	1.267795165e+01	1.596383810e+01	5.936879771e+00	3.924546649e+00
Methanol	6.000565703e+00	6.059184041e+00	2.577445273e+00	9.188371749e+00
Methionine	2.778421725e-01	7.246910797e-02	2.418495979e-01	1.368182032e-01
NAD_	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
NADP_	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
NADH	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
NADPH	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Niacinamide	1.645500211e+00	9.843721546e-02	1.644366233e+00	9.264003000e-02
Phenylalanine	2.627188499e-01	3.870971057e-02	2.463651813e-01	7.071705770e-02
Succinate	7.833233304e-02	2.420223306e-02	7.484904762e-02	2.359991409e-02
Taurine	2.153181732e+01	5.626667620e+00	2.336505336e+01	1.729283300e+00
Tyrosine	3.840648098e-01	4.280829830e-02	3.659698431e-01	5.960546760e-02
UDP_glucose	6.828137993e-01	1.145441633e-01	6.362622762e-01	1.876302904e-01
UDP_glucuronate	2.923090115e-01	4.248450250e-02	2.915545309e-01	2.796657360e-02
Uracil	4.263508001e-01	1.407359461e-01	4.210179752e-01	2.491383814e-01
Uridine	4.146908198e-01	1.917462292e-01	3.786339417e-01	3.973552572e-01
Valine	7.380648971e-01	5.813878222e-02	7.693900665e-01	1.046271809e-01
