	Group:B	Group:M
17.99	-1.424435930e-01	1.424435930e-01
10.38	-7.130544559e-02	7.130544559e-02
122.8	-1.034419732e-01	1.034419732e-01
1001	1.749720139e-01	-1.749720139e-01
0.1184	-3.171013311e-03	3.171013311e-03
0.2776	2.392621114e-01	-2.392621114e-01
0.3001	-1.424402555e-01	1.424402555e-01
0.1471	-2.244629089e-01	2.244629089e-01
0.2419	1.973831521e-02	-1.973831521e-02
0.07871	1.608126137e-01	-1.608126137e-01
1.095	-3.881482154e-01	3.881482154e-01
0.9053	3.143556398e-02	-3.143556398e-02
8.589	-4.650680343e-02	4.650680343e-02
153.4	3.373063801e-01	-3.373063801e-01
0.006399	-1.143396486e-01	1.143396486e-01
0.04904	9.501449360e-02	-9.501449360e-02
0.05373	1.826178140e-01	-1.826178140e-01
0.01587	-4.888861802e-02	4.888861802e-02
0.03003	-2.056772719e-02	2.056772719e-02
0.006193	-3.767330837e-02	3.767330837e-02
25.38	-2.777852990e-01	2.777852990e-01
17.33	-7.538384159e-02	7.538384159e-02
184.6	-1.232186601e-01	1.232186601e-01
2019	2.131564540e-01	-2.131564540e-01
0.1622	-2.569549904e-02	2.569549904e-02
0.6656	3.085906200e-02	-3.085906200e-02
0.7119	-2.074179990e-01	2.074179990e-01
0.2654	-1.491158386e-01	1.491158386e-01
0.4601	-1.023378801e-01	1.023378801e-01
0.1189	-2.107821599e-01	2.107821599e-01
