	Group:B	Group:M
Group:M	9.605031173e-03	9.986718298e-01
Group:M	2.600209238e-04	7.940678449e-01
Group:M	1.000645160e-03	8.975587319e-01
Group:M	1.551304914e-02	9.988332402e-01
Group:M	1.261128615e-01	8.477411344e-01
Group:M	9.804915174e-03	9.988784456e-01
Group:M	2.045489206e-01	7.652831732e-01
Group:M	4.762712296e-02	9.538624524e-01
Group:M	1.552768903e-03	9.265395698e-01
Group:M	2.789745623e-01	6.997734442e-01
Group:M	2.469454701e-02	9.886890887e-01
Group:M	8.075718217e-02	9.053464455e-01
Group:M	2.081835708e-01	7.618457459e-01
Group:M	5.449308391e-02	9.433613907e-01
Group:M	6.747592544e-03	9.926024274e-01
Group:M	7.245482288e-02	9.169670797e-01
Group:M	4.047469848e-03	9.762275093e-01
Group:M	4.075427594e-05	6.387688877e-01
Group:B	4.697026949e-01	5.624388107e-01
Group:B	9.564017347e-01	1.306822435e-01
Group:B	7.057246350e-01	6.336516635e-02
Group:M	2.001120215e-02	9.946365001e-01
Group:M	1.730660432e-04	7.603207806e-01
Group:M	2.211434026e-04	7.807195714e-01
Group:M	1.319075368e-03	9.161541650e-01
Group:M	3.361640364e-03	9.683424042e-01
Group:M	1.808086040e-02	9.966898295e-01
Group:M	1.763904823e-03	9.343184634e-01
Group:M	2.658184412e-01	7.106862478e-01
Group:M	9.711511334e-04	8.954756986e-01
Group:M	6.338956774e-02	9.300771333e-01
Group:M	2.986028514e-03	9.628290578e-01
Group:M	9.829453350e-04	8.963177045e-01
Group:M	1.296909440e-02	9.999462994e-01
Group:M	1.194124755e-03	9.095946779e-01
Group:M	9.250296321e-02	8.895166102e-01
Group:B	8.656813044e-01	9.600735948e-02
Group:M	9.870856885e-01	2.227063516e-01
Group:M	9.848565709e-02	8.817150943e-01
Group:M	7.633284067e-01	3.867027699e-01
Group:M	2.793187336e-01	6.994912948e-01
Group:M	6.572717686e-05	6.787852145e-01
Group:M	1.864958142e-01	7.827921473e-01
Group:M	1.636640071e-01	8.060822109e-01
Group:M	3.560690031e-04	8.195860678e-01
Group:B	5.802487571e-01	4.642764725e-02
Group:M	2.283342211e-02	9.911783978e-01
Group:B	9.946260977e-01	2.092848957e-01
Group:B	6.050377465e-01	4.791252217e-01
Group:B	9.187105776e-01	1.131979708e-01
Group:B	9.990914859e-01	1.775889394e-01
Group:B	9.835149750e-01	1.506832505e-01
Group:M	2.245437613e-01	7.467090513e-01
Group:M	1.924413975e-01	7.769429552e-01
Group:B	9.444779000e-01	2.675434491e-01
Group:M	3.540503247e-04	8.191299643e-01
Group:M	8.466467992e-02	9.000025625e-01
Group:B	8.806352215e-01	1.003077203e-01
Group:B	8.299831404e-01	8.693601728e-02
Group:B	7.133068347e-01	6.456126703e-02
Group:B	9.080139530e-01	1.092325383e-01
Group:M	7.723009118e-02	9.102385243e-01
Group:B	6.382403569e-01	5.366296400e-02
Group:M	2.748900680e-02	9.847400082e-01
Group:M	6.601709712e-02	9.262318981e-01
Group:B	9.944801552e-01	2.096063562e-01
