	Group:B	Group:M
Group:M	1.404045619e-01	8.596288336e-01
Group:M	-1.138462998e-01	1.114420615e+00
Group:M	-2.666142087e-02	1.027873706e+00
Group:M	1.810686474e-01	8.192751972e-01
Group:M	3.946570903e-01	6.058234173e-01
Group:M	1.421250322e-01	8.579569312e-01
Group:M	4.581833193e-01	5.422550814e-01
Group:M	2.862379829e-01	7.143173162e-01
Group:M	3.355684093e-03	9.976318694e-01
Group:M	5.038909618e-01	4.958672910e-01
Group:M	2.226023083e-01	7.776533747e-01
Group:M	3.425876676e-01	6.582451939e-01
Group:M	4.604713588e-01	5.395714661e-01
Group:M	3.001296001e-01	7.005299904e-01
Group:M	1.121710397e-01	8.884241720e-01
Group:M	3.301652398e-01	6.698173130e-01
Group:M	7.260504583e-02	9.279472340e-01
Group:M	-2.225348674e-01	1.222882866e+00
Group:B	5.963720847e-01	4.035328744e-01
Group:B	9.794674174e-01	2.039898448e-02
Group:B	1.113893305e+00	-1.141248800e-01
Group:M	2.036612720e-01	7.969371244e-01
Group:M	-1.388421318e-01	1.139063019e+00
Group:M	-1.238495285e-01	1.124308241e+00
Group:M	-8.019404360e-03	1.008857706e+00
Group:M	5.865442653e-02	9.418120827e-01
Group:M	1.944661520e-01	8.058129396e-01
Group:M	1.201915287e-02	9.884306745e-01
Group:M	4.965389827e-01	5.035350814e-01
Group:M	-2.900039820e-02	1.029567037e+00
Group:M	3.159455513e-01	6.844896231e-01
Group:M	4.994698330e-02	9.506191946e-01
Group:M	-2.827046136e-02	1.028671062e+00
Group:M	1.656547321e-01	8.346509341e-01
Group:M	-1.514875708e-02	1.015381489e+00
Group:M	3.576409826e-01	6.425222029e-01
Group:B	1.039111746e+00	-3.956576463e-02
Group:M	8.641520013e-01	1.356746998e-01
Group:M	3.648702254e-01	6.352520459e-01
Group:M	7.202144885e-01	2.794365377e-01
Group:M	5.043199078e-01	4.959092012e-01
Group:M	-1.952723151e-01	1.196192252e+00
Group:M	4.452092092e-01	5.549218065e-01
Group:M	4.275782838e-01	5.723564134e-01
Group:M	-9.428247787e-02	1.094809267e+00
Group:B	1.166059314e+00	-1.664955261e-01
Group:M	2.154617915e-01	7.848798288e-01
Group:B	8.785204972e-01	1.212462669e-01
Group:B	6.532059632e-01	3.465851739e-01
Group:B	1.007697337e+00	-8.138051844e-03
Group:B	9.151128369e-01	8.439832282e-02
Group:B	9.501832528e-01	4.941456580e-02
Group:M	4.714211048e-01	5.288431043e-01
Group:M	4.493810015e-01	5.504657384e-01
Group:B	8.197909476e-01	1.799587142e-01
Group:M	-9.470251840e-02	1.095104555e+00
Group:M	3.476308445e-01	6.526756906e-01
Group:B	1.030850271e+00	-3.133133352e-02
Group:B	1.057570364e+00	-5.791112193e-02
Group:B	1.110736405e+00	-1.108130017e-01
Group:B	1.014856553e+00	-1.477991641e-02
Group:M	3.375080783e-01	6.631044897e-01
Group:B	1.142182095e+00	-1.423876891e-01
Group:M	2.325883658e-01	7.677346798e-01
Group:M	3.202397812e-01	6.800803886e-01
Group:B	8.782476186e-01	1.216774879e-01
Group:B	8.539412947e-01	1.456563148e-01
Group:B	6.901020890e-01	3.106216322e-01
Group:B	8.906480887e-01	1.090263118e-01
Group:M	2.001850671e-01	7.998613273e-01
Group:B	1.379487555e+00	-3.792151715e-01
Group:M	4.126310608e-02	9.593458747e-01
Group:M	6.916803545e-01	3.082571863e-01
Group:B	9.286523544e-01	7.102888332e-02
Group:M	2.391544822e-01	7.609680717e-01
Group:B	8.921731528e-01	1.080345367e-01
Group:M	1.483750238e-01	8.522695680e-01
Group:M	-3.243253157e-01	1.325729912e+00
Group:B	8.665327960e-01	1.332624206e-01
Group:B	8.222595364e-01	1.777760600e-01
Group:B	4.953606761e-01	5.048737297e-01
Group:M	-4.532165369e-01	1.454205882e+00
Group:M	2.678561459e-01	7.327795461e-01
Group:B	8.156293838e-01	1.841764287e-01
Group:M	7.269625691e-02	9.275622443e-01
Group:M	4.709153006e-01	5.292217501e-01
Group:M	-6.534133421e-02	1.065555703e+00
Group:B	6.579784940e-01	3.419606925e-01
Group:B	6.773644769e-01	3.228438623e-01
Group:B	8.018360186e-01	1.979317075e-01
Group:M	4.701951604e-01	5.298717389e-01
Group:B	8.589237174e-01	1.405592551e-01
Group:B	7.929587274e-01	2.068513454e-01
Group:M	2.540568623e-01	7.463012152e-01
Group:M	5.943664390e-02	9.408860141e-01
Group:B	1.041665173e+00	-4.186462492e-02
Group:B	1.118424933e+00	-1.186772848e-01
Group:B	9.294736799e-01	7.016886167e-02
Group:M	4.750702563e-01	5.250707142e-01
Group:M	5.413697220e-01	4.585566430e-01
Group:B	1.358397064e+00	-3.586380565e-01
Group:B	8.543375426e-01	1.452250449e-01
Group:B	8.391083324e-01	1.608160351e-01
Group:B	1.115623941e+00	-1.157997554e-01
Group:M	3.410459104e-01	6.595511939e-01
Group:B	6.312213158e-01	3.689021911e-01
Group:B	9.138668867e-01	8.570175018e-02
Group:M	-4.234803718e-01	1.424856998e+00
Group:B	6.845384866e-01	3.152437703e-01
Group:B	9.736053164e-01	2.634847820e-02
Group:B	7.262370213e-01	2.739710657e-01
Group:B	8.877920878e-01	1.124731001e-01
Group:B	1.104644612e+00	-1.044968783e-01
Group:B	9.779784834e-01	2.196622769e-02
Group:B	8.458742589e-01	1.539708199e-01
Group:B	1.251832538e+00	-2.517591088e-01
Group:M	1.571103189e-01	8.433117050e-01
Group:M	5.902039769e-02	9.416285914e-01
Group:M	1.905375115e-01	8.093667748e-01
Group:B	8.810810962e-01	1.185727830e-01
Group:M	1.716230612e-01	8.286959414e-01
Group:M	-2.308284461e-01	1.232510347e+00
Group:B	7.842694501e-01	2.156376198e-01
Group:B	9.544126605e-01	4.520333113e-02
Group:B	9.783299517e-01	2.123700330e-02
Group:M	4.504101213e-01	5.494816917e-01
Group:M	3.855880470e-01	6.143887121e-01
Group:B	6.270067550e-01	3.733079613e-01
Group:M	1.093022560e-01	8.910983639e-01
Group:B	8.593276353e-01	1.405643043e-01
Group:M	3.419947150e-01	6.581477290e-01
Group:M	3.939343489e-01	6.061773290e-01
Group:B	6.248384039e-01	3.750095372e-01
Group:M	1.725541958e-01	8.275320907e-01
Group:M	6.327018326e-01	3.671101617e-01
Group:B	9.606462336e-01	3.913164014e-02
Group:B	9.915453372e-01	8.112980480e-03
Group:M	1.900070619e-01	8.104964396e-01
Group:B	9.650261927e-01	3.501816002e-02
Group:B	1.283610788e+00	-2.841713748e-01
Group:M	4.949531679e-01	5.051151798e-01
Group:B	9.622594397e-01	3.760024716e-02
Group:B	7.503069693e-01	2.494256223e-01
Group:B	1.156477686e+00	-1.570478895e-01
Group:B	1.077075901e+00	-7.693364126e-02
Group:M	3.363136556e-01	6.641036575e-01
Group:B	8.141290704e-01	1.858343733e-01
Group:B	6.267510722e-01	3.732040720e-01
Group:B	1.012575615e+00	-1.308534281e-02
Group:B	8.224672574e-01	1.775422195e-01
Group:B	8.805822809e-01	1.196899925e-01
Group:B	9.341886447e-01	6.684044741e-02
Group:B	9.918308863e-01	7.837249007e-03
Group:B	5.822349765e-01	4.176798601e-01
Group:B	8.591270896e-01	1.405863793e-01
Group:M	3.584105883e-01	6.420652656e-01
Group:B	7.583540043e-01	2.413588186e-01
Group:B	9.950320922e-01	4.537236827e-03
Group:B	1.067615497e+00	-6.826608870e-02
Group:B	7.735506832e-01	2.265382395e-01
Group:M	1.750616864e-01	8.251555873e-01
Group:M	-1.438561789e-01	1.144360306e+00
Group:B	8.018623795e-01	1.981709453e-01
Group:M	-2.592064990e-01	1.259530481e+00
Group:B	8.501117172e-01	1.494276724e-01
Group:B	1.169272286e+00	-1.697526747e-01
Group:M	3.938258941e-01	6.061986447e-01
Group:M	1.885476800e-01	8.118716671e-01
Group:B	8.282929263e-01	1.714680575e-01
Group:B	8.431832483e-01	1.566224050e-01
Group:M	5.094173188e-01	4.904005761e-01
Group:M	3.961731070e-01	6.041871707e-01
Group:B	1.039033599e+00	-3.916128245e-02
Group:B	1.225416975e+00	-2.259140427e-01
Group:B	1.346237783e+00	-3.467667193e-01
Group:B	1.000076871e+00	2.969906554e-04
Group:M	2.431194795e-01	7.572097659e-01
Group:B	1.092183067e+00	-9.296788065e-02
Group:B	1.094093867e+00	-9.456746870e-02
Group:M	-5.515807103e-01	1.552288460e+00
Group:M	-2.925737581e-01	1.293513556e+00
Group:M	2.828950284e-01	7.171255041e-01
Group:B	1.125237791e+00	-1.255240413e-01
Group:M	5.702263628e-01	4.296417345e-01
Group:B	9.235987620e-01	7.610679949e-02
Group:M	3.357043117e-01	6.641085621e-01
Group:B	8.242598114e-01	1.754655913e-01
Group:B	8.704948767e-01	1.292334977e-01
Group:B	1.055556010e+00	-5.601971332e-02
Group:M	3.485817374e-01	6.523968007e-01
Group:B	9.777195970e-01	2.201338669e-02
Group:B	1.527457017e+00	-5.282636841e-01
Group:M	3.140103603e-01	6.863630673e-01
Group:M	4.605607573e-01	5.398158087e-01
Group:B	8.720298828e-01	1.275678125e-01
Group:M	1.869254981e-01	8.136477760e-01
Group:M	6.744366299e-01	3.254823596e-01
Group:M	9.978273462e-02	9.004399645e-01
Group:M	1.879832242e-01	8.121238795e-01
Group:B	6.847095621e-01	3.151923377e-01
Group:M	2.118551943e-01	7.881975799e-01
Group:M	-4.227851064e-01	1.423770600e+00
Group:M	-8.752941776e-02	1.088283629e+00
Group:B	7.013521735e-01	2.986025023e-01
Group:M	4.729310499e-01	5.269369274e-01
Group:B	9.826000178e-01	1.722805788e-02
Group:M	4.515035218e-01	5.483944315e-01
Group:B	6.301608221e-01	3.699349621e-01
Group:B	7.596158698e-01	2.399593894e-01
Group:M	-3.567070146e-02	1.036064058e+00
Group:B	9.520355320e-01	4.760373146e-02
Group:M	4.153585435e-02	9.593393657e-01
Group:M	2.138425794e-01	7.870667593e-01
Group:M	3.126262619e-02	9.691567027e-01
Group:M	4.974982419e-01	5.027303590e-01
Group:B	6.891632136e-01	3.109169302e-01
Group:B	1.172909597e+00	-1.732615504e-01
Group:M	5.343786332e-03	9.950331680e-01
Group:M	-1.031524609e-01	1.103387696e+00
Group:B	9.609161952e-01	3.874735556e-02
Group:B	8.338631516e-01	1.660530250e-01
Group:B	1.008650226e+00	-8.822938987e-03
Group:M	2.373976019e-01	7.627867227e-01
Group:B	7.557521855e-01	2.438899354e-01
Group:B	6.470138244e-01	3.528731624e-01
Group:B	1.132400905e+00	-1.327319558e-01
Group:B	7.205499088e-01	2.792945745e-01
Group:B	6.617774817e-01	3.379990199e-01
Group:M	3.119281370e-01	6.885136721e-01
Group:M	8.722905932e-02	9.131469319e-01
Group:B	1.056592514e+00	-5.714813011e-02
Group:B	9.040036902e-01	9.556442699e-02
Group:M	8.226842763e-02	9.179031214e-01
Group:B	8.899765211e-01	1.096583469e-01
Group:B	7.587990470e-01	2.409646333e-01
Group:M	-4.130463403e-01	1.413696081e+00
Group:M	1.932217066e-01	8.068777036e-01
Group:B	7.321699773e-01	2.676988724e-01
Group:M	-6.424636845e-03	1.006765898e+00
Group:B	8.003916407e-01	1.993335268e-01
Group:B	1.076583333e+00	-7.722444219e-02
Group:B	7.875939087e-01	2.126614203e-01
Group:B	8.964492291e-01	1.032305007e-01
Group:M	1.198981229e-01	8.805353323e-01
Group:B	6.672263840e-01	3.328346549e-01
Group:B	8.902120143e-01	1.093114936e-01
Group:B	7.245706809e-01	2.754956839e-01
Group:B	7.550448384e-01	2.447743293e-01
Group:B	8.895047648e-01	1.102877883e-01
Group:M	-2.031979430e-02	1.020888344e+00
Group:B	9.453314727e-01	5.434059698e-02
Group:M	-1.873006011e-01	1.188032037e+00
Group:M	2.433082311e-01	7.567573455e-01
Group:M	-2.864651647e-02	1.028901688e+00
Group:M	5.675890994e-01	4.325192571e-01
Group:M	1.319760198e-03	9.992198409e-01
Group:M	2.127065046e-01	7.881191054e-01
Group:M	7.027703551e-02	9.307839973e-01
Group:M	-8.352617118e-02	1.084023007e+00
Group:M	-6.568815396e-02	1.065933512e+00
Group:M	5.418302983e-01	4.579545669e-01
Group:M	3.531294110e-01	6.471602119e-01
Group:M	6.892568909e-01	3.103363333e-01
Group:M	1.307003331e-01	8.693647810e-01
Group:M	-2.243328621e-01	1.224747098e+00
Group:B	9.589686414e-01	4.095114599e-02
Group:B	9.069059572e-01	9.279124428e-02
Group:B	8.521498089e-01	1.476041984e-01
Group:B	9.759814627e-01	2.413639797e-02
Group:B	1.062415991e+00	-6.316351500e-02
Group:B	9.752971864e-01	2.439006687e-02
Group:M	1.394476938e-02	9.865929957e-01
Group:B	8.958653631e-01	1.039172111e-01
Group:M	3.497180573e-01	6.501938497e-01
Group:B	6.957343012e-01	3.044418631e-01
Group:B	1.108799401e+00	-1.092284653e-01
Group:M	3.283008752e-01	6.715980544e-01
Group:B	9.565910231e-01	4.286765714e-02
Group:B	8.263762309e-01	1.733947094e-01
Group:M	-1.753078010e-01	1.175775186e+00
Group:B	8.301289600e-01	1.695728415e-01
Group:M	-4.006623070e-02	1.040395152e+00
Group:M	4.457945257e-01	5.544757461e-01
Group:B	9.751583687e-01	2.459929563e-02
Group:B	1.111428905e+00	-1.119432154e-01
Group:B	8.743930268e-01	1.255634373e-01
Group:B	1.100126098e+00	-1.008036280e-01
Group:B	7.865479010e-01	2.137728500e-01
Group:B	8.854644738e-01	1.142308993e-01
Group:B	9.736692818e-01	2.665439460e-02
Group:B	5.437043129e-01	4.562095547e-01
Group:B	6.547683685e-01	3.451738056e-01
Group:B	7.661317576e-01	2.335536253e-01
Group:B	1.045042257e+00	-4.541190420e-02
Group:B	9.835585699e-01	1.599338547e-02
Group:B	1.303269428e+00	-3.038919934e-01
Group:M	9.735268907e-01	2.622130167e-02
Group:B	8.766238432e-01	1.228343089e-01
Group:B	1.069890175e+00	-7.008443590e-02
Group:M	-2.080449954e-02	1.021404148e+00
Group:B	9.443101728e-01	5.550613772e-02
Group:M	9.697894977e-02	9.037466854e-01
Group:B	1.018206282e+00	-1.843201682e-02
Group:B	1.094605060e+00	-9.496502202e-02
Group:B	9.405772173e-01	5.904854536e-02
Group:B	1.077592784e+00	-7.813049615e-02
Group:B	1.275525799e+00	-2.761848502e-01
Group:B	1.156400758e+00	-1.571464318e-01
Group:B	1.107021117e+00	-1.076279619e-01
Group:B	8.921491504e-01	1.075027204e-01
Group:B	8.852351791e-01	1.142248011e-01
Group:B	9.537099282e-01	4.600589842e-02
Group:B	1.147045026e+00	-1.475740957e-01
Group:B	1.056885451e+00	-5.687956899e-02
Group:B	1.157743041e+00	-1.583929098e-01
Group:B	1.194010139e+00	-1.946646229e-01
Group:M	2.320081833e-01	7.680711176e-01
Group:B	1.044309644e+00	-4.391922858e-02
Group:B	1.089918497e+00	-9.044819935e-02
Group:B	9.572441581e-01	4.282400762e-02
Group:M	2.709743139e-01	7.289450908e-01
Group:B	8.438212600e-01	1.560780643e-01
Group:M	-4.691231121e-01	1.469887919e+00
Group:B	9.901961707e-01	9.388664841e-03
