	Group:B	Group:M
Group:M	1.403878641e-01	8.596121359e-01
Group:M	-1.141334573e-01	1.114133457e+00
Group:M	-2.726756350e-02	1.027267563e+00
Group:M	1.808967251e-01	8.191032749e-01
Group:M	3.944168365e-01	6.055831635e-01
Group:M	1.420840505e-01	8.579159495e-01
Group:M	4.579641189e-01	5.420358811e-01
Group:M	2.859603334e-01	7.140396666e-01
Group:M	2.861907352e-03	9.971380926e-01
Group:M	5.040118354e-01	4.959881646e-01
Group:M	2.224744668e-01	7.775255332e-01
Group:M	3.421712368e-01	6.578287632e-01
Group:M	4.604499464e-01	5.395500536e-01
Group:M	2.997998048e-01	7.002001952e-01
Group:M	1.118734339e-01	8.881265661e-01
Group:M	3.301739634e-01	6.698260366e-01
Group:M	7.232890592e-02	9.276710941e-01
Group:M	-2.227088669e-01	1.222708867e+00
Group:B	5.964196052e-01	4.035803948e-01
Group:B	9.795342165e-01	2.046578353e-02
Group:B	1.114009092e+00	-1.140090923e-01
Group:M	2.033620738e-01	7.966379262e-01
Group:M	-1.389525753e-01	1.138952575e+00
Group:M	-1.240788848e-01	1.124078885e+00
Group:M	-8.438554950e-03	1.008438555e+00
Group:M	5.842117193e-02	9.415788281e-01
Group:M	1.943266062e-01	8.056733938e-01
Group:M	1.179423918e-02	9.882057608e-01
Group:M	4.965019506e-01	5.034980494e-01
Group:M	-2.928371777e-02	1.029283718e+00
Group:M	3.157279641e-01	6.842720359e-01
Group:M	4.966389434e-02	9.503361057e-01
Group:M	-2.847076146e-02	1.028470761e+00
Group:M	1.655018990e-01	8.344981010e-01
Group:M	-1.526512321e-02	1.015265123e+00
Group:M	3.575593899e-01	6.424406101e-01
Group:B	1.039338755e+00	-3.933875515e-02
Group:M	8.642386508e-01	1.357613492e-01
Group:M	3.648090898e-01	6.351909102e-01
Group:M	7.203889754e-01	2.796110246e-01
Group:M	5.042053533e-01	4.957946467e-01
Group:M	-1.957322836e-01	1.195732284e+00
Group:M	4.451437014e-01	5.548562986e-01
Group:M	4.276109352e-01	5.723890648e-01
Group:M	-9.454587226e-02	1.094545872e+00
Group:B	1.166277420e+00	-1.662774202e-01
Group:M	2.152909813e-01	7.847090187e-01
Group:B	8.786371151e-01	1.213628849e-01
Group:B	6.533103947e-01	3.466896053e-01
Group:B	1.007917694e+00	-7.917694498e-03
Group:B	9.153572570e-01	8.464274295e-02
Group:B	9.503843435e-01	4.961565650e-02
Group:M	4.712890002e-01	5.287109998e-01
Group:M	4.494576316e-01	5.505423684e-01
Group:B	8.199161167e-01	1.800838833e-01
Group:M	-9.490353647e-02	1.094903536e+00
Group:M	3.474775769e-01	6.525224231e-01
Group:B	1.031090802e+00	-3.109080232e-02
Group:B	1.057740743e+00	-5.774074289e-02
Group:B	1.110774704e+00	-1.107747036e-01
Group:B	1.014818235e+00	-1.481823491e-02
Group:M	3.372017943e-01	6.627982057e-01
Group:B	1.142284892e+00	-1.422848920e-01
Group:M	2.324268430e-01	7.675731570e-01
Group:M	3.200796963e-01	6.799203037e-01
Group:B	8.782850654e-01	1.217149346e-01
Group:B	8.541424900e-01	1.458575100e-01
Group:B	6.897402284e-01	3.102597716e-01
Group:B	8.908108884e-01	1.091891116e-01
Group:M	2.001618699e-01	7.998381301e-01
Group:B	1.379351363e+00	-3.793513633e-01
Group:M	4.095861566e-02	9.590413843e-01
Group:M	6.917115841e-01	3.082884159e-01
Group:B	9.288117356e-01	7.118826444e-02
Group:M	2.390932053e-01	7.609067947e-01
Group:B	8.920693080e-01	1.079306920e-01
Group:M	1.480527279e-01	8.519472721e-01
Group:M	-3.250276136e-01	1.325027614e+00
Group:B	8.666351877e-01	1.333648123e-01
Group:B	8.222417382e-01	1.777582618e-01
Group:B	4.952434732e-01	5.047565268e-01
Group:M	-4.537112094e-01	1.453711209e+00
Group:M	2.675382999e-01	7.324617001e-01
Group:B	8.157264775e-01	1.842735225e-01
Group:M	7.256700633e-02	9.274329937e-01
Group:M	4.708467752e-01	5.291532248e-01
Group:M	-6.544851836e-02	1.065448518e+00
Group:B	6.580089008e-01	3.419910992e-01
Group:B	6.772603073e-01	3.227396927e-01
Group:B	8.019521555e-01	1.980478445e-01
Group:M	4.701617107e-01	5.298382893e-01
Group:B	8.591822312e-01	1.408177688e-01
Group:B	7.930536910e-01	2.069463090e-01
Group:M	2.538778236e-01	7.461221764e-01
Group:M	5.927531488e-02	9.407246851e-01
Group:B	1.041764899e+00	-4.176489883e-02
Group:B	1.118551109e+00	-1.185511090e-01
Group:B	9.296524091e-01	7.034759090e-02
Group:M	4.749997710e-01	5.250002290e-01
Group:M	5.414065395e-01	4.585934605e-01
Group:B	1.358517560e+00	-3.585175602e-01
Group:B	8.545562488e-01	1.454437512e-01
Group:B	8.391461486e-01	1.608538514e-01
Group:B	1.115711848e+00	-1.157118484e-01
Group:M	3.407473582e-01	6.592526418e-01
Group:B	6.311595623e-01	3.688404377e-01
Group:B	9.140825683e-01	8.591743174e-02
Group:M	-4.241686851e-01	1.424168685e+00
Group:B	6.846473582e-01	3.153526418e-01
Group:B	9.736284191e-01	2.637158092e-02
Group:B	7.261329778e-01	2.738670222e-01
Group:B	8.876594938e-01	1.123405062e-01
Group:B	1.104570745e+00	-1.045707450e-01
Group:B	9.780061279e-01	2.199387212e-02
Group:B	8.459517195e-01	1.540482805e-01
Group:B	1.251795824e+00	-2.517958236e-01
Group:M	1.568993070e-01	8.431006930e-01
Group:M	5.869590316e-02	9.413040968e-01
Group:M	1.905853684e-01	8.094146316e-01
Group:B	8.812541566e-01	1.187458434e-01
Group:M	1.714635599e-01	8.285364401e-01
Group:M	-2.316693963e-01	1.231669396e+00
Group:B	7.843159151e-01	2.156840849e-01
Group:B	9.546046647e-01	4.539533532e-02
Group:B	9.785464742e-01	2.145352582e-02
Group:M	4.504642148e-01	5.495357852e-01
Group:M	3.855996675e-01	6.144003325e-01
Group:B	6.268493969e-01	3.731506031e-01
Group:M	1.091019461e-01	8.908980539e-01
Group:B	8.593816655e-01	1.406183345e-01
Group:M	3.419234930e-01	6.580765070e-01
Group:M	3.938785099e-01	6.061214901e-01
Group:B	6.249144333e-01	3.750855667e-01
Group:M	1.725110525e-01	8.274889475e-01
Group:M	6.327958354e-01	3.672041646e-01
Group:B	9.607572968e-01	3.924270325e-02
Group:B	9.917161784e-01	8.283821634e-03
Group:M	1.897553111e-01	8.102446889e-01
Group:B	9.650040163e-01	3.499598367e-02
Group:B	1.283891081e+00	-2.838910813e-01
Group:M	4.949189941e-01	5.050810059e-01
Group:B	9.623295963e-01	3.767040373e-02
