	PC1	PC2	PC3	PC4
Group:setosa	2.395104878e+01	-3.159529639e+00	7.717675246e-01	-6.840626833e-01
Group:setosa	2.395104878e+01	-3.313334918e+00	1.956921745e+00	-2.129364268e+00
Group:setosa	2.395104878e+01	-3.131832389e+00	1.891787851e+00	-1.349435122e+00
Group:setosa	2.395104878e+01	-3.182671948e+00	2.103036196e+00	-1.632725433e+00
Group:setosa	2.395104878e+01	-3.079117734e+00	7.135918944e-01	-3.025601338e-01
Group:setosa	2.395104878e+01	-3.242820962e+00	-8.173699080e-01	4.468279965e-01
Group:setosa	2.395104878e+01	-3.074476461e+00	1.442212128e+00	-6.104523431e-01
Group:setosa	2.395104878e+01	-3.189690478e+00	1.034233237e+00	-9.504289477e-01
Group:setosa	2.395104878e+01	-3.180957470e+00	2.781619720e+00	-2.114685821e+00
Group:setosa	2.395104878e+01	-3.241742354e+00	1.874028395e+00	-1.889747825e+00
Group:setosa	2.395104878e+01	-3.196709009e+00	-3.456972323e-02	-2.681324620e-01
Group:setosa	2.395104878e+01	-3.139439413e+00	1.238523318e+00	-8.352926626e-01
Group:setosa	2.395104878e+01	-3.230545755e+00	2.238928840e+00	-2.122265995e+00
Group:setosa	2.395104878e+01	-2.991185137e+00	3.031349561e+00	-1.741343023e+00
Group:setosa	2.395104878e+01	-3.141691382e+00	-9.497205831e-01	4.649361652e-01
Group:setosa	2.395104878e+01	-3.083123137e+00	-2.027843119e+00	1.859947509e+00
Group:setosa	2.395104878e+01	-3.160106086e+00	-6.125004415e-01	5.145241851e-01
Group:setosa	2.395104878e+01	-3.206853909e+00	6.175141532e-01	-6.251307902e-01
Group:setosa	2.395104878e+01	-3.346838381e+00	-8.604483547e-01	-1.256667782e-01
Group:setosa	2.395104878e+01	-3.092691590e+00	8.508723515e-03	3.043623128e-01
Group:setosa	2.395104878e+01	-3.372907485e+00	4.207836066e-01	-1.248397706e+00
Group:setosa	2.395104878e+01	-3.184962873e+00	4.018470647e-02	4.782182239e-02
Group:setosa	2.395104878e+01	-2.854543289e+00	1.429476258e+00	2.925671933e-02
Group:setosa	2.395104878e+01	-3.453432632e+00	5.272140193e-01	-1.188983912e+00
Group:setosa	2.395104878e+01	-3.201475571e+00	1.084871218e+00	-8.860648041e-01
Group:setosa	2.395104878e+01	-3.390157248e+00	1.726733287e+00	-2.229242528e+00
