	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	9.793964349e-01	1.268786433e-01	-1.018603793e-01
Group:setosa	8.447992135e-01	3.539043547e-01	-1.939242535e-01
Group:setosa	9.026670724e-01	2.469102762e-01	-1.444581782e-01
Group:setosa	8.268370126e-01	3.375876924e-01	-1.593893372e-01
Group:setosa	9.970910816e-01	8.438746241e-02	-7.695280868e-02
Group:setosa	1.017355326e+00	-9.057026432e-02	7.665037972e-02
Group:setosa	9.164129479e-01	1.323834665e-01	-4.377948201e-02
Group:setosa	9.260449405e-01	1.955443428e-01	-1.171406043e-01
Group:setosa	7.875697202e-01	4.088839415e-01	-1.909969850e-01
Group:setosa	8.523584295e-01	3.808182530e-01	-2.284603856e-01
Group:setosa	1.025252868e+00	5.350099325e-02	-7.489187138e-02
Group:setosa	8.903880928e-01	2.217188615e-01	-1.075132586e-01
Group:setosa	8.439640660e-01	4.054605192e-01	-2.444387425e-01
Group:setosa	8.784540569e-01	3.498323742e-01	-2.222902411e-01
Group:setosa	1.191896493e+00	-1.545775063e-01	-3.369033636e-02
Group:setosa	1.203498819e+00	-3.637008100e-01	1.633769821e-01
Group:setosa	1.107269588e+00	-1.786171310e-01	7.525411586e-02
Group:setosa	9.736424413e-01	7.740387973e-02	-4.670675053e-02
Group:setosa	1.018592955e+00	-2.767121830e-03	-1.268909945e-02
Group:setosa	1.024015239e+00	-3.430214924e-02	1.444760779e-02
Group:setosa	9.074443739e-01	2.312421722e-01	-1.349990318e-01
Group:setosa	9.939774579e-01	-3.920433094e-02	4.933280580e-02
Group:setosa	1.060648779e+00	4.666199701e-03	-5.979251309e-02
Group:setosa	8.461311820e-01	1.336346663e-01	2.411084340e-02
Group:setosa	8.229523964e-01	2.877540114e-01	-1.064660607e-01
Group:setosa	8.064312237e-01	3.958463870e-01	-1.978652615e-01
Group:setosa	8.920583878e-01	1.186065323e-01	-6.484280723e-03
Group:setosa	9.635070105e-01	1.468089590e-01	-1.061504532e-01
Group:setosa	9.617017881e-01	1.693698242e-01	-1.267679500e-01
Group:setosa	8.352313761e-01	3.129454262e-01	-1.434109803e-01
Group:setosa	8.175367293e-01	3.554366071e-01	-1.683185510e-01
Group:setosa	9.408935177e-01	8.826921174e-02	-2.538990613e-02
