	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	9.789384884e-01	1.246712858e-01	-1.036097742e-01
Group:setosa	8.443041393e-01	3.515146875e-01	-1.958188268e-01
Group:setosa	9.021365361e-01	2.443506795e-01	-1.464872155e-01
Group:setosa	8.263153236e-01	3.350699961e-01	-1.613853197e-01
Group:setosa	9.966215131e-01	8.212458581e-02	-7.874609892e-02
Group:setosa	1.016998292e+00	-9.228799013e-02	7.528969820e-02
Group:setosa	9.158927452e-01	1.298749881e-01	-4.576773338e-02
Group:setosa	9.255836233e-01	1.933199944e-01	-1.189036176e-01
Group:setosa	7.870046355e-01	4.061555890e-01	-1.931602245e-01
Group:setosa	8.518698025e-01	3.784600945e-01	-2.303298970e-01
Group:setosa	1.024851923e+00	5.156999259e-02	-7.642191559e-02
Group:setosa	8.899117829e-01	2.194220030e-01	-1.093337858e-01
Group:setosa	8.434476321e-01	4.029675870e-01	-2.464152191e-01
Group:setosa	8.778329417e-01	3.468342640e-01	-2.246672058e-01
Group:setosa	1.191519265e+00	-1.563918334e-01	-3.512743148e-02
Group:setosa	1.203168082e+00	-3.652883083e-01	1.621202259e-01
Group:setosa	1.106863681e+00	-1.805704224e-01	7.370674095e-02
Group:setosa	9.731922490e-01	7.523408657e-02	-4.842633562e-02
Group:setosa	1.018267000e+00	-4.335491485e-03	-1.393150813e-02
Group:setosa	1.023583215e+00	-3.638250605e-02	1.279929074e-02
Group:setosa	9.070619146e-01	2.293984095e-01	-1.364603240e-01
Group:setosa	9.935512047e-01	-4.125730502e-02	4.770610029e-02
Group:setosa	1.060075917e+00	1.904954546e-03	-6.198087117e-02
Group:setosa	8.457291857e-01	1.316963129e-01	2.257450143e-02
Group:setosa	8.225127407e-01	2.856338272e-01	-1.081465679e-01
Group:setosa	8.059741910e-01	3.936402034e-01	-1.996143944e-01
Group:setosa	8.916247972e-01	1.165162040e-01	-8.141001188e-03
Group:setosa	9.630748875e-01	1.447261936e-01	-1.078010811e-01
Group:setosa	9.612554637e-01	1.672179857e-01	-1.284734494e-01
Group:setosa	8.347374939e-01	3.105625037e-01	-1.452999976e-01
Group:setosa	8.170544692e-01	3.531092037e-01	-1.701636729e-01
Group:setosa	9.405021306e-01	8.638279489e-02	-2.688492550e-02
Group:setosa	1.114535754e+00	-7.321100862e-02	-4.132474560e-02
Group:setosa	1.175349873e+00	-1.953283169e-01	1.997844392e-02
Group:setosa	8.461235631e-01	3.290228953e-01	-1.751464584e-01
Group:setosa	9.444111230e-01	2.162329706e-01	-1.606440936e-01
Group:setosa	1.027815822e+00	9.453787664e-02	-1.223536985e-01
Group:setosa	9.957650060e-01	1.335774853e-01	-1.293424912e-01
Group:setosa	8.337567541e-01	3.395225807e-01	-1.732793348e-01
Group:setosa	9.321863698e-01	1.913042941e-01	-1.234906639e-01
Group:setosa	9.890558499e-01	5.517917876e-02	-4.423502868e-02
Group:setosa	6.646128627e-01	6.000064829e-01	-2.646193456e-01
Group:setosa	8.823282965e-01	2.503977803e-01	-1.327260768e-01
Group:setosa	9.044180896e-01	-2.692059461e-02	1.225025050e-01
Group:setosa	9.279715864e-01	2.462727061e-03	6.956568656e-02
Group:setosa	8.319551534e-01	3.040931885e-01	-1.360483419e-01
Group:setosa	1.006863107e+00	3.512530123e-02	-4.198840851e-02
Group:setosa	8.730674422e-01	2.684369878e-01	-1.415044300e-01
Group:setosa	1.018249176e+00	5.358569285e-02	-7.183486934e-02
Group:setosa	9.237641995e-01	2.158117865e-01	-1.395759860e-01
Group:versicolor	2.211890222e-01	3.551438576e-01	4.236671202e-01
Group:versicolor	2.207589985e-01	2.736596439e-01	5.055813576e-01
Group:versicolor	1.396215703e-01	3.964259751e-01	4.639524546e-01
Group:versicolor	6.658655460e-02	6.813839064e-01	2.520295390e-01
Group:versicolor	1.077523128e-01	4.719641526e-01	4.202835346e-01
Group:versicolor	8.888916677e-02	5.648935451e-01	3.462172882e-01
