	Group:Group:A	Group:Group:B	Group:Group:C	Group:Group:D	Group:Group:E
AMP	3.345519460e-02	1.012735080e-01	-1.291845778e-01	6.591673346e-02	-7.146085822e-02
ADP	8.536797199e-02	-1.044874253e-01	-2.044603134e-01	4.010786844e-01	-1.774989178e-01
ATP	1.000741992e-01	-1.029370366e-02	-1.080648181e-01	1.947417724e-01	-1.764574498e-01
Acetate	2.458691847e-01	4.563965201e-02	-2.378588008e-01	1.697676117e-01	-2.234176476e-01
Alanine	1.827304032e-02	-1.283987899e-01	2.522147947e-01	-1.360255098e-01	-6.063535292e-03
Ascorbat	1.280711391e-03	-8.058678887e-02	2.665862853e-01	-1.320681200e-01	-5.521208778e-02
Aspartate	-1.333359848e-01	9.068171399e-02	1.899405516e-01	-2.872374293e-01	1.399511486e-01
Betaine	-3.522313357e-02	1.177361770e-02	2.110105029e-01	-2.472616125e-01	5.970062550e-02
Cholate	-3.446060256e-02	-8.147871617e-02	1.211881318e-01	-5.984835775e-02	5.459954467e-02
Creatine	1.141107713e-01	-8.638475739e-02	1.715613945e-01	-8.316737249e-02	-1.161200360e-01
Ethanol	-1.355778954e-01	-1.133121991e-01	2.590494930e-01	-1.519253765e-01	1.417659778e-01
Formate	-1.166695920e-02	6.628165302e-02	-1.412865668e-01	-2.818411365e-03	8.949028437e-02
Fumarate	-3.841267108e-02	-3.860387863e-02	-1.446358357e-02	5.607402551e-02	3.540610777e-02
Glucose	1.335346324e-01	1.432428909e-01	-1.087709375e-01	-8.903571975e-02	-7.897086603e-02
Glucose_1_phosphate	-1.469341004e-01	5.135410317e-02	-9.265518227e-02	-1.855869826e-02	2.067938777e-01
Glucose_6_phosphate	-8.946174816e-02	-3.889051035e-02	6.318413013e-02	-8.341690939e-02	1.485850378e-01
Glutamate	-5.839389933e-02	7.288828481e-02	-2.583066376e-01	1.780505336e-01	6.576171857e-02
Glutamine	1.119258561e-01	1.751993498e-02	-6.787920037e-02	9.356820575e-02	-1.551347965e-01
Glutathione	-5.214264510e-02	1.830546644e-02	1.561584682e-01	-1.276850155e-01	5.363725927e-03
Glycine	-4.458145915e-02	-7.049905080e-02	5.057535347e-02	-2.055013004e-02	8.505528652e-02
Histidine	-3.933972820e-02	-2.255157494e-01	3.408024944e-02	1.954608838e-01	3.531434436e-02
Hypoxanthine	-6.681350877e-02	4.609822851e-02	-4.542761669e-02	-7.896625591e-02	1.451091529e-01
IMP	3.907448111e-02	5.376859619e-02	3.215651896e-02	-6.048591851e-02	-6.451367775e-02
Inosine	-8.954531465e-02	1.708133683e-01	-2.658292637e-01	-3.182342896e-03	1.877435530e-01
Isoleucine	7.280391761e-02	-2.237393935e-02	-1.136065530e-01	1.200887234e-01	-5.691214863e-02
Lactate	2.304634434e-01	-8.530109270e-02	9.242104440e-02	7.578534650e-03	-2.451619297e-01
Leucine	4.482721271e-02	6.749535002e-02	-1.823000154e-01	6.413521567e-02	5.842237032e-03
Lysine	4.595087441e-02	2.619905060e-02	-1.676851071e-02	-3.472863080e-02	-2.065278350e-02
Malate	-9.589281346e-02	5.858902936e-03	6.162006700e-02	-1.241837860e-01	1.525976295e-01
Maltose	7.419659798e-02	-5.833734213e-02	2.077687547e-02	2.336689600e-02	-6.000302731e-02
Methanol	2.376225507e-02	1.385730371e-01	-2.977161910e-01	1.562315693e-01	-2.085067043e-02
Methionine	-3.396352215e-02	3.046257611e-03	1.504505275e-01	-1.821229717e-01	6.258970881e-02
NAD_	-4.628107943e-03	-1.194401441e-01	1.428458017e-01	5.281027384e-02	-7.158782346e-02
NADP_	3.462394543e-02	-8.340795932e-02	-2.598505023e-01	3.806919129e-01	-7.205739675e-02
NADH	3.634037828e-02	2.533151758e-01	8.216983037e-02	-3.007746615e-01	-7.105072294e-02
NADPH	8.685163465e-03	4.637438045e-01	5.616588936e-02	-5.346932980e-01	6.098440655e-03
Niacinamide	-3.907373625e-02	2.696346677e-02	2.171496152e-03	-1.001477194e-01	1.100864927e-01
Phenylalanine	9.888358109e-02	-1.277070507e-02	-1.228238277e-01	1.138341728e-01	-7.712322111e-02
Succinate	-8.885108019e-02	3.131627256e-02	1.703238946e-01	-1.666267251e-01	5.383763815e-02
Taurine	-2.668491254e-02	1.834663309e-01	-1.904371085e-01	-3.555666817e-02	6.921235836e-02
Tyrosine	1.572704713e-01	1.415252229e-01	-2.804689461e-01	9.264199716e-02	-1.109687453e-01
UDP_glucose	-1.141866268e-01	-2.099134221e-01	-4.591059166e-02	3.258781806e-01	4.413245988e-02
UDP_glucuronate	-8.950031469e-02	2.450893954e-01	-1.960446694e-01	-5.493361839e-02	9.538920706e-02
Uracil	1.119449003e-01	1.813897868e-02	-2.008122990e-02	-3.317456176e-02	-7.682808735e-02
Uridine	8.570340020e-02	5.864209470e-03	-7.393932864e-02	3.212749100e-02	-4.975577203e-02
Valine	3.808020893e-02	-1.789482709e-02	-3.912907371e-02	2.666550685e-02	-7.721814968e-03
