	E2_Group:Group:A	E2_Group:Group:B	E2_Group:Group:C	E2_Group:Group:D	E2_Group:Group:E
PC1	2.559523810e-01	5.000000000e-01	5.000000000e-01	5.000000000e-01	5.200000000e-01
PC2	0.000000000e+00	5.000000000e-01	5.000000000e-01	5.000000000e-01	0.000000000e+00
PC3	0.000000000e+00	1.666666667e-01	2.351190476e-01	5.200000000e-01	0.000000000e+00
PC4	0.000000000e+00	8.333333333e-02	8.333333333e-02	2.083333333e-02	0.000000000e+00
PC5	0.000000000e+00	1.428571429e-01	2.000000000e-02	0.000000000e+00	0.000000000e+00
PC6	0.000000000e+00	7.142857143e-02	2.000000000e-02	0.000000000e+00	0.000000000e+00
PC7	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
PC8	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
PC9	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
PC10	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
