	Group:Group:A	Group:Group:B	Group:Group:C	Group:Group:D	Group:Group:E
Group:Group:E_1P	2.175967124e-17	7.607844177e-04	1.234771226e-03	3.374857622e-03	8.569755506e-01
Group:Group:E_2P	6.330342260e-20	1.344606611e-03	2.715212502e-02	3.205753789e-04	9.839653624e-01
Group:Group:E_3P	3.283436095e-23	5.917350335e-04	8.285049356e-04	2.409877379e-02	7.670351043e-01
Group:Group:E_4P	1.574748501e-19	5.700826207e-05	1.930097181e-02	5.761245360e-03	9.926920247e-01
Group:Group:E_5P	1.548516658e-15	1.682131590e-03	9.445633537e-04	6.470663689e-03	8.391964716e-01
Group:Group:E_6P	2.376540124e-15	1.859691428e-03	1.094799486e-04	4.107148157e-02	6.109545604e-01
Group:Group:A_1P	8.059850497e-01	8.892705916e-05	9.442648540e-03	1.170593080e-03	3.095161456e-12
Group:Group:A_2P	9.751637198e-01	4.380795601e-04	4.544759119e-03	1.089392458e-02	1.615980389e-15
Group:Group:A_3P	7.243141152e-01	1.935089975e-03	2.938521541e-03	1.396636929e-03	5.253653092e-11
Group:Group:A_4P	7.643929727e-01	5.565971378e-05	2.498822019e-02	5.989274436e-03	6.473684732e-18
Group:Group:A_5P	9.515925079e-01	6.305615730e-04	4.546010942e-04	1.890341293e-02	1.437897065e-14
Group:Group:A_6P	7.949712188e-01	8.553936771e-03	3.939971201e-03	6.057008345e-04	3.968937966e-13
Group:Group:B_1P	3.904907667e-18	8.333445680e-01	2.125073367e-01	3.917114417e-04	2.515191488e-15
Group:Group:B_2P	1.219115810e-28	7.451977899e-01	3.807084985e-02	7.649652548e-05	3.433376192e-09
Group:Group:B_3P	3.694657655e-17	8.677846835e-01	1.135131894e-03	1.203074555e-02	1.777841053e-17
Group:Group:B_4P	4.824289308e-21	7.256385958e-01	9.952323022e-03	3.575673619e-02	4.230302638e-13
Group:Group:B_5P	3.199889404e-18	9.375915325e-01	2.919895775e-03	3.938825366e-02	1.031578270e-15
Group:Group:B_6P	8.474588184e-19	8.978594900e-01	5.202636413e-04	6.763523275e-02	1.891418138e-19
Group:Group:C_1P	3.109336160e-18	9.542032828e-04	7.756480572e-01	1.874447592e-03	2.684701275e-15
Group:Group:C_2P	7.500334674e-19	8.738409791e-04	8.184868104e-01	7.717369124e-02	1.197881252e-14
Group:Group:C_3P	1.332253638e-15	1.713288571e-01	8.525773122e-01	1.051489655e-03	7.426638484e-20
Group:Group:C_4P	2.608074580e-25	3.257108669e-06	7.896418177e-01	1.238445564e-01	8.210887029e-13
Group:Group:C_5P	6.107699326e-20	5.492129988e-03	8.342457215e-01	5.075218702e-02	2.630192785e-16
Group:Group:C_6P	6.035418451e-18	2.641383368e-03	9.232435500e-01	5.694060824e-03	7.580608200e-18
Group:Group:D_1P	1.930071355e-14	8.240485676e-04	2.139043325e-04	4.851163876e-01	9.077083703e-20
Group:Group:D_2P	2.076692067e-27	2.131886771e-03	2.160543369e-02	9.661189451e-01	1.718322684e-10
Group:Group:D_3P	1.958020426e-23	9.398985884e-04	5.786965680e-03	9.912959647e-01	2.968850894e-11
Group:Group:D_4P	5.500671926e-19	1.565446064e-02	3.497937611e-02	7.481507435e-01	7.523238221e-18
Group:Group:D_5P	1.407364427e-24	7.417399400e-03	2.352784872e-03	9.998274534e-01	1.141217364e-11
Group:Group:D_6P	1.087379006e-17	4.385235508e-06	3.639693335e-01	9.472323547e-01	1.878124911e-16
