	Group:Group:A	Group:Group:B	Group:Group:C	Group:Group:D	Group:Group:E
Group:Group:E_1P	6.891977775e-02	1.479443857e-02	-7.677797857e-02	-3.409679527e-02	1.010290333e+00
Group:Group:E_2P	4.086107304e-03	4.943825408e-02	1.868099940e-01	-1.680436923e-01	9.677499351e-01
Group:Group:E_3P	-7.011356511e-02	1.681379178e-03	-7.671268526e-02	1.634948629e-01	1.039525912e+00
Group:Group:E_4P	1.966119896e-02	-1.212754949e-01	1.588251345e-01	4.158239837e-02	9.687332170e-01
Group:Group:E_5P	1.126689518e-01	5.729770763e-02	-1.003227967e-01	3.232787383e-03	8.672772800e-01
Group:Group:E_6P	1.233056415e-01	6.631960124e-02	-2.212056154e-01	1.828750108e-01	8.283581656e-01
Group:Group:A_1P	1.036360325e+00	-8.461142793e-02	1.454733009e-01	-1.521707736e-02	1.198243070e-01
Group:Group:A_2P	9.387501622e-01	-7.210015904e-03	4.674565904e-02	1.019577617e-01	-5.256531662e-03
Group:Group:A_3P	8.704120033e-01	7.266981750e-02	-9.065865455e-05	-8.226017149e-02	1.397785663e-01
Group:Group:A_4P	1.035182676e+00	-1.222453650e-01	1.853215250e-01	4.865281514e-02	-8.271190750e-02
Group:Group:A_5P	9.851741936e-01	-5.803509164e-04	-1.388568582e-01	1.058366925e-01	1.326927829e-02
Group:Group:A_6P	8.857576361e-01	1.749044676e-01	2.047814315e-02	-1.400066960e-01	6.494256541e-02
Group:Group:B_1P	4.708420545e-02	7.317712755e-01	3.787890042e-01	-1.865536774e-01	-6.534863986e-03
Group:Group:B_2P	-1.811162215e-01	1.056900886e+00	2.000464333e-01	-2.610914583e-01	2.406408381e-01
Group:Group:B_3P	7.644084780e-02	9.985489693e-01	-6.808114512e-02	9.715387603e-02	-6.959363113e-02
Group:Group:B_4P	-3.299754972e-02	6.799013574e-01	4.935469062e-02	1.414585493e-01	5.842429236e-02
Group:Group:B_5P	4.939561203e-02	7.907023352e-01	-1.783995258e-02	1.832377256e-01	-1.229161115e-02
Group:Group:B_6P	5.090180575e-02	9.957705153e-01	-1.027036190e-01	2.956422355e-01	-1.043625009e-01
Group:Group:C_1P	5.301129975e-02	2.447987010e-02	9.917896663e-01	-7.317825070e-02	9.356338731e-03
Group:Group:C_2P	2.616715439e-02	1.274136227e-02	6.410373863e-01	2.302210431e-01	1.292166484e-02
Group:Group:C_3P	1.023026570e-01	4.297926940e-01	6.436096600e-01	-1.620635765e-01	-1.646918140e-01
Group:Group:C_4P	-1.285230374e-01	-2.776403953e-01	9.680368902e-01	2.850935543e-01	7.546391018e-02
Group:Group:C_5P	-6.548927796e-03	1.325565407e-01	6.577747052e-01	1.956377423e-01	-5.059913169e-02
Group:Group:C_6P	4.745071917e-02	8.816094715e-02	9.098824502e-01	7.367221016e-03	-9.160379975e-02
Group:Group:D_1P	1.604885988e-01	2.705660618e-02	-1.538153551e-01	1.190826415e+00	-1.252462927e-01
Group:Group:D_2P	-1.732634197e-01	6.724595349e-02	1.265626758e-01	7.487808038e-01	1.602280905e-01
Group:Group:D_3P	-8.029877879e-02	2.463350602e-02	4.006582824e-02	8.793339789e-01	1.391025406e-01
Group:Group:D_4P	2.651886701e-02	2.184927598e-01	1.856357594e-01	6.492882958e-01	-8.381947707e-02
Group:Group:D_5P	-1.027554554e-01	1.620966280e-01	-3.555216128e-02	8.396028015e-01	1.288232336e-01
Group:Group:D_6P	5.557651475e-02	-2.643948220e-01	4.557199196e-01	7.312348247e-01	-4.799890739e-02
