	P-Value	-Log10[P-Value]	Adj-P-Value	-Log10[Adj-P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
Inosine	2.188296150e-03	2.659893904e+00	4.445909061e-01	3.520394249e-01	-4.107939437e+00	4.107939437e+00	4.581883300e-01	-1.125987381e+00
NADP_	8.113231171e-03	2.090806149e+00	8.241729066e-01	8.398166631e-02	-3.301789282e+00	3.301789282e+00	5.797079279e-01	-7.866018792e-01
Leucine	1.941584408e-02	1.711843724e+00	8.449660958e-01	7.316071673e-02	-2.781123522e+00	2.781123522e+00	8.113338898e-01	-3.016323432e-01
UDP_glucose	2.213616059e-02	1.654897703e+00	8.449660958e-01	7.316071673e-02	-2.818939844e+00	2.818939844e+00	8.358033647e-01	-2.587645284e-01
NADPH	2.227128984e-02	1.652254630e+00	8.449660958e-01	7.316071673e-02	2.702899914e+00	2.702899914e+00	1.970530664e+00	9.785841996e-01
Tyrosine	2.495376351e-02	1.602863945e+00	8.449660958e-01	7.316071673e-02	-2.819504662e+00	2.819504662e+00	8.183192140e-01	-2.892643683e-01
Lactate	3.284572657e-02	1.483521127e+00	9.533125536e-01	2.076468797e-02	2.509465895e+00	2.509465895e+00	1.749559783e+00	8.069919625e-01
NADH	5.061750504e-02	1.295699265e+00	1.285479711e+00	-1.090652266e-01	2.287484082e+00	2.287484082e+00	1.418075727e+00	5.039345768e-01
AMP	5.836449001e-02	1.233851305e+00	1.317530460e+00	-1.197606644e-01	-2.139787400e+00	2.139787400e+00	8.850655410e-01	-1.761438011e-01
Glutamine	9.725481958e-02	1.012088867e+00	1.546800654e+00	-1.894343471e-01	-1.829591183e+00	1.829591183e+00	7.796528985e-01	-3.590961159e-01
Isoleucine	9.876529940e-02	1.005395615e+00	1.546800654e+00	-1.894343471e-01	-1.823335175e+00	1.823335175e+00	8.203984909e-01	-2.856032568e-01
Malate	1.028575343e-01	9.877638907e-01	1.546800654e+00	-1.894343471e-01	-1.876010857e+00	1.876010857e+00	6.992443266e-01	-5.161314517e-01
Fumarate	1.063973903e-01	9.730690241e-01	1.546800654e+00	-1.894343471e-01	-1.885816072e+00	1.885816072e+00	7.010096263e-01	-5.124938393e-01
Glutamate	1.065878995e-01	9.722920961e-01	1.546800654e+00	-1.894343471e-01	-1.805263678e+00	1.805263678e+00	8.066352120e-01	-3.100117099e-01
Phenylalanine	1.206919373e-01	9.183217417e-01	1.634712856e+00	-2.134414781e-01	-1.732690886e+00	1.732690886e+00	8.054476831e-01	-3.121372115e-01
Acetate	1.316147691e-01	8.806953739e-01	1.671241157e+00	-2.230391223e-01	-1.705600765e+00	1.705600765e+00	7.896296941e-01	-3.407518514e-01
Betaine	1.412231617e-01	8.500940698e-01	1.687763100e+00	-2.273114876e-01	1.616537450e+00	1.616537450e+00	1.807507086e+00	8.540013032e-01
Valine	1.563649680e-01	8.058605397e-01	1.764905409e+00	-2.467214340e-01	-1.570727882e+00	1.570727882e+00	8.411620616e-01	-2.495443124e-01
Methionine	1.870380000e-01	7.280701501e-01	2.000003371e+00	-3.010307278e-01	1.484228527e+00	1.484228527e+00	1.487192113e+00	5.725910240e-01
IMP	2.140017472e-01	6.695826808e-01	2.173911212e+00	-3.372418024e-01	-1.328079338e+00	1.328079338e+00	7.466547886e-01	-4.214867192e-01
Glutathione	2.539341076e-01	5.952789622e-01	2.391691029e+00	-3.787050744e-01	1.211436152e+00	1.211436152e+00	1.106772711e+00	1.463589784e-01
UDP_glucuronate	2.612387687e-01	5.829623719e-01	2.391691029e+00	-3.787050744e-01	-1.193081125e+00	1.193081125e+00	8.706970861e-01	-1.997571998e-01
ADP	2.707562133e-01	5.674215683e-01	2.391691029e+00	-3.787050744e-01	-1.209916881e+00	1.209916881e+00	8.487327765e-01	-2.366177021e-01
