	P-Value	-Log10[P-Value]	Adj-P-Value	-Log10[Adj-P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
Niacinamide	1.638555915e-07	6.785538734e+00	3.329014945e-05	4.477684255e+00	4.094626071e+01	4.094626071e+01	Inf	Inf
NAD_	1.541156603e-06	5.812153229e+00	1.164903489e-04	3.933710054e+00	-2.610541901e+01	2.610541901e+01	0.000000000e+00	-Inf
Formate	1.720111985e-06	5.764443278e+00	1.164903489e-04	3.933710054e+00	1.058107521e+01	1.058107521e+01	1.800107130e+00	8.480827688e-01
UDP_glucuronate	4.723068983e-06	5.325775711e+00	2.147179576e-04	3.668131632e+00	-1.001639805e+01	1.001639805e+01	4.808350431e-01	-1.056386052e+00
AMP	5.753769035e-06	5.240047575e+00	2.147179576e-04	3.668131632e+00	-1.204942288e+01	1.204942288e+01	1.763731286e-01	-2.503297320e+00
Valine	6.341107841e-06	5.197834861e+00	2.147179576e-04	3.668131632e+00	8.590341013e+00	8.590341013e+00	1.621599116e+00	6.974172070e-01
Hypoxanthine	1.843764692e-05	4.734294506e+00	5.351332456e-04	3.271538067e+00	1.580630569e+01	1.580630569e+01	Inf	Inf
Tyrosine	5.109865295e-05	4.291590548e+00	1.297698921e-03	2.886826057e+00	7.407012092e+00	7.407012092e+00	1.674880016e+00	7.440577486e-01
Acetate	6.192730491e-05	4.208117820e+00	1.397958082e-03	2.854505851e+00	8.334584446e+00	8.334584446e+00	2.036869958e+00	1.026353876e+00
Succinate	7.784915133e-05	4.108746118e+00	1.581642627e-03	2.800891639e+00	-1.147841082e+01	1.147841082e+01	6.347476143e-02	-3.977673122e+00
Lysine	1.108537372e-04	3.955249661e+00	2.006308160e-03	2.697602360e+00	6.535234165e+00	6.535234165e+00	1.908592755e+00	9.325093011e-01
Glucose_6_phosphate	1.349873328e-04	3.869706984e+00	2.006308160e-03	2.697602360e+00	1.050381155e+01	1.050381155e+01	Inf	Inf
ADP	1.370137138e-04	3.863235962e+00	2.006308160e-03	2.697602360e+00	-1.047134672e+01	1.047134672e+01	0.000000000e+00	-Inf
Isoleucine	1.382519280e-04	3.859328804e+00	2.006308160e-03	2.697602360e+00	6.797356926e+00	6.797356926e+00	1.586564115e+00	6.659058239e-01
Glycine	1.809880925e-04	3.742349997e+00	2.451394586e-03	2.610586777e+00	8.450002890e+00	8.450002890e+00	1.725432219e+00	7.869578007e-01
Alanine	1.988658825e-04	3.701439718e+00	2.525194170e-03	2.597705222e+00	5.702729566e+00	5.702729566e+00	1.766355961e+00	8.207761083e-01
Leucine	2.173016018e-04	3.662937072e+00	2.596979282e-03	2.585531515e+00	7.587027924e+00	7.587027924e+00	1.647389967e+00	7.201821079e-01
NADPH	2.892660481e-04	3.538702538e+00	3.264971812e-03	2.486120564e+00	-8.956459901e+00	8.956459901e+00	0.000000000e+00	-Inf
Malate	3.070436921e-04	3.512799820e+00	3.283228111e-03	2.483698942e+00	7.571227662e+00	7.571227662e+00	4.727045187e+00	2.240938656e+00
NADH	3.861600958e-04	3.413232607e+00	3.810691246e-03	2.418996238e+00	-8.426105440e+00	8.426105440e+00	0.000000000e+00	-Inf
Histidine	3.938842164e-04	3.404631422e+00	3.810691246e-03	2.418996238e+00	5.882600237e+00	5.882600237e+00	1.589562134e+00	6.686294105e-01
Glucose	6.967348141e-04	3.156932488e+00	6.183665029e-03	2.208754044e+00	6.679511296e+00	6.679511296e+00	2.373664397e+00	1.247115973e+00
Uracil	7.000342887e-04	3.154880687e+00	6.183665029e-03	2.208754044e+00	7.420576908e+00	7.420576908e+00	Inf	Inf
Methionine	3.112352127e-03	2.506911273e+00	2.599358317e-02	1.585133850e+00	4.670803150e+00	4.670803150e+00	2.116045489e+00	1.081370642e+00
Uridine	3.198539220e-03	2.495048320e+00	2.599358317e-02	1.585133850e+00	5.297527435e+00	5.297527435e+00	Inf	Inf
ATP	3.375612047e-03	2.471647472e+00	2.637750166e-02	1.578766341e+00	-5.232186539e+00	5.232186539e+00	0.000000000e+00	-Inf
Phenylalanine	4.384274703e-03	2.358102242e+00	3.299046769e-02	1.481611528e+00	3.963185583e+00	3.963185583e+00	1.972430082e+00	9.799741613e-01
Methanol	4.997889382e-03	2.301213360e+00	3.626461634e-02	1.440516913e+00	-3.662123429e+00	3.662123429e+00	3.470971342e-01	-1.526588641e+00
Glutathione	6.714689435e-03	2.172974069e+00	4.654826431e-02	1.332096508e+00	-4.137035505e+00	4.137035505e+00	5.064620581e-01	-9.814739021e-01
Inosine	6.873378618e-03	2.162829732e+00	4.654826431e-02	1.332096508e+00	4.373843247e+00	4.373843247e+00	3.401255417e+00	1.766067349e+00
NADP_	7.267378581e-03	2.138622215e+00	4.762890198e-02	1.322129430e+00	-4.363343142e+00	4.363343142e+00	0.000000000e+00	-Inf
Creatine	2.303462884e-02	1.637618781e+00	1.462465802e-01	8.349142806e-01	2.723534920e+00	2.723534920e+00	1.270178367e+00	3.450311046e-01
Glucose_1_phosphate	2.611548825e-02	1.583101850e+00	1.607824672e-01	7.937613113e-01	3.124622816e+00	3.124622816e+00	Inf	Inf
Lactate	3.069159163e-02	1.512980589e+00	1.833981594e-01	7.366050272e-01	2.514231328e+00	2.514231328e+00	1.545864247e+00	6.284136323e-01
IMP	4.838243575e-02	1.315312271e+00	2.808498285e-01	5.515258370e-01	-2.425884499e+00	2.425884499e+00	5.072771660e-01	-9.791538728e-01
Fumarate	9.507084325e-02	1.021952654e+00	5.365365644e-01	2.704006760e-01	1.857714335e+00	1.857714335e+00	1.446011506e+00	5.320790324e-01
Maltose	1.093256555e-01	9.612779099e-01	6.003089867e-01	2.216251551e-01	1.945303650e+00	1.945303650e+00	Inf	Inf
Cholate	1.779535276e-01	7.496933985e-01	9.514314075e-01	2.162251628e-02	1.511085349e+00	1.511085349e+00	2.960928621e+00	1.566049712e+00
Ascorbat	1.864386676e-01	7.294640095e-01	9.694548456e-01	1.347241428e-02	-1.437574794e+00	1.437574794e+00	8.190907414e-01	-2.879048079e-01
Taurine	1.908679892e-01	7.192669018e-01	9.694548456e-01	1.347241428e-02	-1.404171599e+00	1.404171599e+00	8.172103119e-01	-2.912206862e-01
Aspartate	1.963858110e-01	7.068898936e-01	9.731521098e-01	1.181927148e-02	1.402382602e+00	1.402382602e+00	1.405312184e+00	4.908906549e-01
Betaine	2.982273138e-01	5.254525832e-01	1.442622180e+00	-1.591526052e-01	1.100319660e+00	1.100319660e+00	1.407195259e+00	4.928225275e-01
Glutamate	5.749738302e-01	2.403519217e-01	2.716652577e+00	-4.340341016e-01	5.937471834e-01	5.937471834e-01	1.090017524e+00	1.243513293e-01
UDP_glucose	6.734323392e-01	1.717060320e-01	3.109537297e+00	-4.926957703e-01	-4.360355835e-01	4.360355835e-01	9.653818254e-01	-5.082842857e-02
Glutamine	7.523503982e-01	1.235798448e-01	3.396738551e+00	-5.310621202e-01	-3.259069520e-01	3.259069520e-01	9.532058749e-01	-6.914025163e-02
Ethanol	7.857304751e-01	1.047264021e-01	3.470325768e+00	-5.403702450e-01	2.803078891e-01	2.803078891e-01	1.123967303e+00	1.686000665e-01
