	P-Value	-Log10[P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
AMP	3.049596424e-07	6.515757630e+00	-1.411996390e+01	1.411996390e+01	2.391917854e-01	-2.063760251e+00
Niacinamide	3.631257555e-07	6.439942947e+00	2.244105730e+01	2.244105730e+01	6.932181215e+01	6.115237464e+00
Succinate	4.700125125e-06	5.327890580e+00	-1.969244782e+01	1.969244782e+01	3.991154449e-02	-4.647050081e+00
Acetate	5.504474917e-06	5.259284103e+00	1.074248885e+01	1.074248885e+01	4.099803334e+00	2.035554706e+00
NAD_	1.936244893e-05	4.713039715e+00	-1.564969694e+01	1.564969694e+01	0.000000000e+00	-Inf
Hypoxanthine	2.220681746e-05	4.653513677e+00	1.521902992e+01	1.521902992e+01	Inf	Inf
Uracil	3.776192791e-05	4.422945841e+00	1.365599176e+01	1.365599176e+01	Inf	Inf
Lactate	4.148288167e-05	4.382131082e+00	7.409523651e+00	7.409523651e+00	2.244765638e+00	1.166564830e+00
Glucose	6.385693313e-05	4.194791943e+00	1.027408071e+01	1.027408071e+01	4.079019918e+00	2.028222552e+00
Malate	1.061008531e-04	3.974281124e+00	6.780475883e+00	6.780475883e+00	3.628700002e+00	1.859452789e+00
Glutathione	1.350070439e-04	3.869643572e+00	-6.005228263e+00	6.005228263e+00	4.724722810e-01	-1.081698403e+00
Tyrosine	1.551486047e-04	3.809252126e+00	9.162571764e+00	9.162571764e+00	2.438843089e+00	1.286196941e+00
NADH	2.731691676e-04	3.563568321e+00	-9.065051860e+00	9.065051860e+00	0.000000000e+00	-Inf
Formate	4.096054176e-04	3.387634308e+00	5.744327856e+00	5.744327856e+00	2.069397031e+00	1.049210465e+00
NADPH	6.522546811e-04	3.185582795e+00	-7.534323009e+00	7.534323009e+00	0.000000000e+00	-Inf
Uridine	7.291381695e-04	3.137190166e+00	7.355708718e+00	7.355708718e+00	Inf	Inf
Glycine	7.694235045e-04	3.113834551e+00	5.561633842e+00	5.561633842e+00	1.581252075e+00	6.610673728e-01
ADP	8.190129642e-04	3.086709224e+00	-7.173261028e+00	7.173261028e+00	0.000000000e+00	-Inf
NADP_	1.033539615e-03	2.985672872e+00	-6.819585620e+00	6.819585620e+00	0.000000000e+00	-Inf
Lysine	1.381574357e-03	2.859625736e+00	5.293246450e+00	5.293246450e+00	2.126860159e+00	1.088725180e+00
Isoleucine	1.619800872e-03	2.790538372e+00	5.198030260e+00	5.198030260e+00	2.144891740e+00	1.100904832e+00
Leucine	1.849506305e-03	2.732944184e+00	5.459908036e+00	5.459908036e+00	2.262100506e+00	1.177663031e+00
Phenylalanine	2.040088199e-03	2.690351056e+00	5.026065647e+00	5.026065647e+00	2.036169881e+00	1.025857933e+00
Inosine	2.256365102e-03	2.646590626e+00	5.086270885e+00	5.086270885e+00	4.633428143e+00	2.212079998e+00
Maltose	2.497554105e-03	2.602485095e+00	5.605409868e+00	5.605409868e+00	Inf	Inf
Glucose_6_phosphate	2.499566693e-03	2.602135271e+00	5.604385826e+00	5.604385826e+00	Inf	Inf
UDP_glucose	3.426167028e-03	2.465191469e+00	-4.534014482e+00	4.534014482e+00	5.365439892e-01	-8.982316379e-01
Valine	4.248098741e-03	2.371805397e+00	4.648050222e+00	4.648050222e+00	2.141710802e+00	1.098763684e+00
Methionine	4.690209755e-03	2.328807734e+00	3.696449696e+00	3.696449696e+00	2.284319078e+00	1.191764183e+00
UDP_glucuronate	8.382422809e-03	2.076630437e+00	-3.280195794e+00	3.280195794e+00	6.114347832e-01	-7.097294685e-01
ATP	2.254271767e-02	1.646993728e+00	-3.256106505e+00	3.256106505e+00	0.000000000e+00	-Inf
Histidine	2.725912278e-02	1.564488124e+00	2.583988066e+00	2.583988066e+00	1.324476826e+00	4.054226014e-01
Alanine	2.969432109e-02	1.527326600e+00	2.541638744e+00	2.541638744e+00	1.475431181e+00	5.611366305e-01
Glutamate	3.284449577e-02	1.483537401e+00	-2.474881118e+00	2.474881118e+00	7.473602506e-01	-4.201242608e-01
Glucose_1_phosphate	3.483570896e-02	1.457975346e+00	2.873893502e+00	2.873893502e+00	Inf	Inf
