	P-Value	-Log10[P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
AMP	2.171887640e-08	7.663162646e+00	-1.778489723e+01	1.778489723e+01	2.117004069e-01	-2.239904053e+00
Lactate	3.067435097e-07	6.513224618e+00	1.196460514e+01	1.196460514e+01	3.927351682e+00	1.973556793e+00
ADP	2.004922023e-06	5.697902514e+00	-2.475877036e+01	2.475877036e+01	0.000000000e+00	-Inf
Niacinamide	2.288816782e-06	5.640388971e+00	2.410703708e+01	2.410703708e+01	Inf	Inf
NAD_	8.135198481e-06	5.089631847e+00	-1.866092142e+01	1.866092142e+01	0.000000000e+00	-Inf
Hypoxanthine	2.220681746e-05	4.653513677e+00	1.521902992e+01	1.521902992e+01	Inf	Inf
Uracil	3.776192791e-05	4.422945841e+00	1.365599176e+01	1.365599176e+01	Inf	Inf
Acetate	5.072473309e-05	4.294780230e+00	1.091066109e+01	1.091066109e+01	3.237326453e+00	1.694802854e+00
Glucose	6.719315789e-05	4.172674948e+00	1.003667092e+01	1.003667092e+01	3.845560350e+00	1.943193833e+00
Succinate	1.260298514e-04	3.899526576e+00	-1.050709300e+01	1.050709300e+01	4.473770338e-02	-4.482364993e+00
NADH	1.303220985e-04	3.884981935e+00	-1.058081539e+01	1.058081539e+01	0.000000000e+00	-Inf
NADP_	1.319074650e-04	3.879730626e+00	-1.055428377e+01	1.055428377e+01	0.000000000e+00	-Inf
Tyrosine	1.709656137e-04	3.767091231e+00	7.207765446e+00	7.207765446e+00	1.995752160e+00	9.969325724e-01
UDP_glucose	3.229270649e-04	3.490895555e+00	-5.840265960e+00	5.840265960e+00	4.484452715e-01	-1.156996166e+00
Glutathione	4.826828912e-04	3.316338095e+00	-5.156212030e+00	5.156212030e+00	5.229194275e-01	-9.353394247e-01
Malate	7.261875185e-04	3.138951220e+00	6.461819364e+00	6.461819364e+00	2.537347889e+00	1.343321337e+00
Uridine	7.291381695e-04	3.137190166e+00	7.355708718e+00	7.355708718e+00	Inf	Inf
Formate	9.346715646e-04	3.029340970e+00	4.962369209e+00	4.962369209e+00	1.834975742e+00	8.757609911e-01
Lysine	1.206503964e-03	2.918471247e+00	4.972223105e+00	4.972223105e+00	2.109349412e+00	1.076798096e+00
Glycine	1.487143106e-03	2.827647238e+00	5.620749597e+00	5.620749597e+00	1.534816639e+00	6.180663100e-01
Methionine	1.645778633e-03	2.783628580e+00	5.620814018e+00	5.620814018e+00	3.397221316e+00	1.764355207e+00
UDP_glucuronate	2.039022100e-03	2.690578067e+00	-4.141646980e+00	4.141646980e+00	5.323744841e-01	-9.094866682e-01
Alanine	2.468205557e-03	2.607618674e+00	4.168639970e+00	4.168639970e+00	1.729516604e+00	7.903688639e-01
Maltose	2.497554105e-03	2.602485095e+00	5.605409868e+00	5.605409868e+00	Inf	Inf
Glucose_6_phosphate	2.499566693e-03	2.602135271e+00	5.604385826e+00	5.604385826e+00	Inf	Inf
Isoleucine	4.633776194e-03	2.334064946e+00	4.123733698e+00	4.123733698e+00	1.759665946e+00	8.153015748e-01
Leucine	4.886276193e-03	2.311021988e+00	4.457551090e+00	4.457551090e+00	1.835318803e+00	8.760306873e-01
Glutamate	5.487855127e-03	2.260597362e+00	-3.679358002e+00	3.679358002e+00	6.028470942e-01	-7.301359707e-01
Phenylalanine	7.647296903e-03	2.116492048e+00	3.492687702e+00	3.492687702e+00	1.640028313e+00	7.137207213e-01
Valine	8.438936468e-03	2.073712283e+00	3.647693122e+00	3.647693122e+00	1.801525873e+00	8.492193717e-01
NADPH	9.684830588e-03	2.013907972e+00	-4.064639962e+00	4.064639962e+00	0.000000000e+00	-Inf
Inosine	1.419991300e-02	1.847714317e+00	3.466457786e+00	3.466457786e+00	2.122982703e+00	1.086092617e+00
Creatine	3.265787194e-02	1.486012118e+00	2.507759576e+00	2.507759576e+00	1.246266213e+00	3.176122736e-01
Glucose_1_phosphate	3.483570896e-02	1.457975346e+00	2.873893502e+00	2.873893502e+00	Inf	Inf
