	P-Value	-Log10[P-Value]	Z-Score	Abs[Z-Score]	FoldChange	Log2[FoldChange]
Niacinamide	1.638555915e-07	6.785538734e+00	4.094626071e+01	4.094626071e+01	Inf	Inf
ADP	2.004922023e-06	5.697902514e+00	-2.475877036e+01	2.475877036e+01	0.000000000e+00	-Inf
AMP	3.693432475e-06	5.432569837e+00	-1.128727793e+01	1.128727793e+01	1.797954658e-01	-2.475571457e+00
NAD_	8.135198481e-06	5.089631847e+00	-1.866092142e+01	1.866092142e+01	0.000000000e+00	-Inf
Formate	1.262767465e-05	4.898676616e+00	8.495394458e+00	8.495394458e+00	1.945085042e+00	9.598332336e-01
Hypoxanthine	1.843764692e-05	4.734294506e+00	1.580630569e+01	1.580630569e+01	Inf	Inf
Acetate	6.459953558e-05	4.189770604e+00	8.430702957e+00	8.430702957e+00	2.046577851e+00	1.033213548e+00
Tyrosine	8.529546896e-05	4.069074039e+00	6.517576952e+00	6.517576952e+00	1.608618900e+00	6.858225760e-01
Lysine	9.390171223e-05	4.027326489e+00	6.307769393e+00	6.307769393e+00	2.015314449e+00	1.011004960e+00
NADH	1.303220985e-04	3.884981935e+00	-1.058081539e+01	1.058081539e+01	0.000000000e+00	-Inf
NADP_	1.319074650e-04	3.879730626e+00	-1.055428377e+01	1.055428377e+01	0.000000000e+00	-Inf
Glucose_6_phosphate	1.349873328e-04	3.869706984e+00	1.050381155e+01	1.050381155e+01	Inf	Inf
Succinate	1.372934546e-04	3.862350167e+00	-1.025626755e+01	1.025626755e+01	6.625456540e-02	-3.915836320e+00
Leucine	1.631045680e-04	3.787533876e+00	6.472410078e+00	6.472410078e+00	1.588017249e+00	6.672265831e-01
Glycine	2.221254864e-04	3.653401608e+00	7.734562519e+00	7.734562519e+00	1.641708604e+00	7.151980783e-01
Glucose	3.200975119e-04	3.494717702e+00	7.241100553e+00	7.241100553e+00	2.789356807e+00	1.479932492e+00
Isoleucine	5.487152224e-04	3.260652991e+00	4.988929510e+00	4.988929510e+00	1.512987149e+00	5.973997338e-01
Uracil	7.000342887e-04	3.154880687e+00	7.420576908e+00	7.420576908e+00	Inf	Inf
Malate	7.049428246e-04	3.151846106e+00	6.940911354e+00	6.940911354e+00	3.404665935e+00	1.767513248e+00
Methionine	8.419345800e-04	3.074721653e+00	6.196449764e+00	6.196449764e+00	3.232279683e+00	1.692552037e+00
Valine	9.934606794e-04	3.002849317e+00	5.120627157e+00	5.120627157e+00	1.519629880e+00	6.037199843e-01
UDP_glucuronate	3.100549197e-03	2.508561373e+00	-4.494322621e+00	4.494322621e+00	5.937859814e-01	-7.519850614e-01
Uridine	3.198539220e-03	2.495048320e+00	5.297527435e+00	5.297527435e+00	Inf	Inf
Histidine	5.056239198e-03	2.296172389e+00	3.858997568e+00	3.858997568e+00	1.326137559e+00	4.072304323e-01
Glutathione	6.997541291e-03	2.155054530e+00	-3.700674215e+00	3.700674215e+00	5.153169016e-01	-9.564681835e-01
Phenylalanine	6.998977802e-03	2.154965384e+00	3.389947808e+00	3.389947808e+00	1.439446096e+00	5.255137640e-01
Inosine	7.099757990e-03	2.148756455e+00	4.261267181e+00	4.261267181e+00	3.265794017e+00	1.707433799e+00
NADPH	9.684830588e-03	2.013907972e+00	-4.064639962e+00	4.064639962e+00	0.000000000e+00	-Inf
UDP_glucose	1.345105118e-02	1.871243775e+00	-2.997956218e+00	2.997956218e+00	7.804485381e-01	-3.576245893e-01
Methanol	2.311118965e-02	1.636177699e+00	-2.979981511e+00	2.979981511e+00	4.331062115e-01	-1.207207232e+00
Glucose_1_phosphate	2.611548825e-02	1.583101850e+00	3.124622816e+00	3.124622816e+00	Inf	Inf
IMP	3.890926935e-02	1.409946924e+00	-2.452388381e+00	2.452388381e+00	5.924598826e-01	-7.552106272e-01
Alanine	4.093488614e-02	1.387906413e+00	2.392867454e+00	2.392867454e+00	1.288858862e+00	3.660942879e-01
