	Mean Group:Group:A	Std Group:Group:A	Q2 Group:Group:A	IQR Group:Group:A
AMP	6.386657108e-01	1.922578976e-01	6.529713837e-01	3.128128652e-01
ADP	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
ATP	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Acetate	3.283431941e+00	4.929860602e-01	3.249341356e+00	5.653708800e-01
Alanine	4.567186767e+00	9.297431749e-01	4.224818042e+00	8.267403990e-01
Ascorbat	7.479075049e-01	1.528626963e-01	7.451728221e-01	2.656791754e-01
Aspartate	5.537315700e-01	2.097009370e-01	5.424014739e-01	1.940802834e-01
Betaine	3.044764809e+00	8.237311475e-01	2.986686361e+00	9.149112320e-01
Cholate	7.495397540e-01	1.769686203e+00	0.000000000e+00	1.370762053e-01
Creatine	3.153862655e-01	4.859792378e-02	3.128527843e-01	5.171442270e-02
Ethanol	5.938570755e+01	3.014111783e+01	5.994380737e+01	4.856123668e+01
Formate	2.595227765e-01	4.922785226e-02	2.498672475e-01	6.686789650e-02
Fumarate	3.086934759e-01	5.623393709e-02	2.993391225e-01	9.376644190e-02
Glucose	9.831611480e+01	1.704989797e+01	1.022449224e+02	3.255285580e+01
Glucose_1_phosphate	1.508595790e+01	1.285813101e+01	1.291213630e+01	1.919027106e+01
Glucose_6_phosphate	1.748706063e+01	7.643009771e+00	1.773727927e+01	1.065596647e+01
Glutamate	2.728521442e+00	6.539464764e-01	2.625293197e+00	8.120010530e-01
Glutamine	6.422052796e+00	1.855529153e+00	6.711629756e+00	3.024194558e+00
Glutathione	3.019103477e+00	1.012199829e+00	3.352001522e+00	8.917405790e-01
Glycine	4.398565089e+00	6.414964875e-01	4.328858985e+00	8.385817710e-01
Histidine	9.588560118e-01	1.604481793e-01	9.233128044e-01	2.575236646e-01
Hypoxanthine	2.465298749e+00	3.967877079e-01	2.280087892e+00	6.756159590e-01
IMP	3.534880232e-01	8.958221801e-02	3.589727887e-01	7.081438420e-02
Inosine	5.937790669e-01	2.137494886e-01	6.583521248e-01	3.606677604e-01
Isoleucine	4.698476161e-01	1.103027711e-01	4.315905002e-01	7.855889780e-02
Lactate	1.907320429e+01	2.008842073e+00	1.988881910e+01	3.998630200e+00
Leucine	9.716282905e-01	2.350134218e-01	8.622336812e-01	4.416168307e-01
Lysine	1.123162611e+00	2.555017863e-01	1.063157847e+00	1.054701700e-01
Malate	2.365268852e+00	5.216624103e-01	2.305107987e+00	6.097551110e-01
Maltose	1.909463422e+01	8.344101818e+00	1.881997847e+01	9.914707070e+00
Methanol	9.898553117e+00	8.777348019e+00	8.196672400e+00	1.135902765e+01
Methionine	2.920203211e-01	8.696032380e-02	2.658727195e-01	8.622236660e-02
NAD_	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
NADP_	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
NADH	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
NADPH	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Niacinamide	1.584960966e+00	1.610461550e-01	1.589427216e+00	1.802330080e-01
Phenylalanine	2.993278827e-01	6.965126957e-02	2.671788911e-01	6.096755410e-02
Succinate	5.289308985e-02	1.985513176e-02	5.148298833e-02	1.952435490e-02
Taurine	2.052983150e+01	5.418449246e+00	2.004923127e+01	1.044279594e+01
Tyrosine	4.764945716e-01	7.333300591e-02	4.437716815e-01	9.830376070e-02
UDP_glucose	3.923444080e-01	1.716122687e-01	3.560079180e-01	1.158957732e-01
UDP_glucuronate	2.620773546e-01	9.199447210e-02	2.717281527e-01	1.862083422e-01
Uracil	5.409504076e-01	9.703084904e-02	5.322189325e-01	1.454908411e-01
Uridine	4.516983487e-01	1.504179290e-01	4.754113114e-01	2.058910925e-01
Valine	8.749781945e-01	2.390467136e-01	7.979228199e-01	4.301916920e-01
