	MeanVip	StdVip	MinVipLimitCI95	MaxVipLimitCI95	MeanRegCoefGroup:B	MeanRegCoefGroup:M	StdRegCoefGroup:B	StdRegCoefGroup:M	CorrelationGroup:B	CorrelationGroup:M	CorrelationPvalueGroup:B	CorrelationPvalueGroup:M
0.2654	1.433307928e+00	5.376469454e-05	1.433202549e+00	1.433413307e+00	-1.490874048e-01	1.490874048e-01	5.219502392e-05	5.219502392e-05	-7.931810770e-01	7.931810770e-01	5.166528603e-124	5.166528603e-124
25.38	1.392659310e+00	2.805390303e-05	1.392604324e+00	1.392714296e+00	-2.778399711e-01	2.778399711e-01	2.503914052e-05	2.503914052e-05	-7.757250329e-01	7.757250329e-01	3.015938366e-115	3.015938366e-115
184.6	1.379536583e+00	2.811066138e-05	1.379481486e+00	1.379591679e+00	-1.232318432e-01	1.232318432e-01	3.502052397e-05	3.502052397e-05	-7.824702840e-01	7.824702840e-01	1.543339596e-118	1.543339596e-118
0.1471	1.372476712e+00	2.884438356e-05	1.372420177e+00	1.372533247e+00	-2.244449322e-01	2.244449322e-01	1.984082700e-05	1.984082700e-05	-7.763687679e-01	7.763687679e-01	1.480233165e-115	1.480233165e-115
2019	1.325913535e+00	3.551786661e-05	1.325843920e+00	1.325983150e+00	2.131797010e-01	-2.131797010e-01	8.115444768e-05	8.115444768e-05	-7.329248396e-01	7.329248396e-01	9.366274659e-97	9.366274659e-97
122.8	1.304689573e+00	2.731974243e-05	1.304636026e+00	1.304743119e+00	-1.034521015e-01	1.034521015e-01	5.189242214e-05	5.189242214e-05	-7.418871602e-01	7.418871602e-01	2.541933599e-100	2.541933599e-100
17.99	1.288082581e+00	3.357460531e-05	1.288016775e+00	1.288148388e+00	-1.424581634e-01	1.424581634e-01	5.843908315e-05	5.843908315e-05	-7.293761256e-01	7.293761256e-01	2.208227030e-95	2.208227030e-95
1001	1.273136512e+00	2.821620152e-05	1.273081208e+00	1.273191816e+00	1.750058943e-01	-1.750058943e-01	3.668132201e-05	3.668132201e-05	-7.083893708e-01	7.083893708e-01	1.085779864e-87	1.085779864e-87
0.3001	1.227817769e+00	2.875895853e-05	1.227761401e+00	1.227874136e+00	-1.424437277e-01	1.424437277e-01	1.867678069e-05	1.867678069e-05	-6.956475015e-01	6.956475015e-01	2.397514626e-83	2.397514626e-83
0.7119	1.166832856e+00	4.817659237e-05	1.166738430e+00	1.166927282e+00	-2.074050518e-01	2.074050518e-01	4.519363595e-05	4.519363595e-05	-6.583475455e-01	6.583475455e-01	7.559594977e-72	7.559594977e-72
0.2776	1.135184405e+00	3.150347062e-05	1.135122658e+00	1.135246152e+00	2.393089166e-01	-2.393089166e-01	5.264322962e-05	5.264322962e-05	-5.955867658e-01	5.955867658e-01	8.073690240e-56	8.073690240e-56
153.4	1.090974672e+00	3.520126605e-05	1.090905677e+00	1.091043666e+00	3.372632993e-01	-3.372632993e-01	5.712147539e-05	5.712147539e-05	-5.463429725e-01	5.463429725e-01	1.635186248e-45	1.635186248e-45
1.095	1.085055636e+00	3.012258616e-05	1.084996596e+00	1.085114676e+00	-3.881885682e-01	3.881885682e-01	4.799461717e-05	4.799461717e-05	-5.653733125e-01	5.653733125e-01	2.723977005e-49	2.723977005e-49
0.6656	1.042207345e+00	1.240074814e-05	1.042183040e+00	1.042231651e+00	3.087367606e-02	-3.087367606e-02	1.871301147e-05	1.871301147e-05	-5.894527840e-01	5.894527840e-01	1.942257734e-54	1.942257734e-54
8.589	1.002776222e+00	1.916235740e-05	1.002738664e+00	1.002813780e+00	-4.646171968e-02	4.646171968e-02	2.735833308e-05	2.735833308e-05	-5.544158633e-01	5.544158633e-01	4.369506674e-47	4.369506674e-47
17.33	9.468621260e-01	8.450245196e-05	9.466965012e-01	9.470277509e-01	-7.541989469e-02	7.541989469e-02	5.259399538e-05	5.259399538e-05	-4.614428745e-01	4.614428745e-01	2.693362338e-31	2.693362338e-31
