	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Group:M	-5.029249186e+01	-6.326757220e+00	2.392090697e+00	-2.848337082e+00	-2.584427084e+00	-1.234752909e+00	-7.317581324e-01	-6.448076005e-01	-6.065466528e-01	-6.656171598e-01
Group:M	-5.029249186e+01	2.100440272e-01	-4.348053514e-01	3.351289084e-01	5.500511816e-01	1.003876896e+00	7.417549837e-01	8.718255015e-01	6.083941580e-01	6.065398997e-01
Group:M	-5.029249186e+01	1.669775234e-01	2.728659545e+00	3.204147375e-01	-1.154031468e-01	2.397784493e-01	3.899109123e-01	9.687168227e-01	1.402478756e-01	3.396354608e-01
Group:M	-5.029249186e+01	-4.174159688e+00	2.948288074e+00	-3.741968141e+00	-3.168561158e+00	-1.591020674e+00	-1.481973490e+00	-1.398304876e+00	-7.189189009e-01	-6.701800866e-01
Group:M	-5.029249186e+01	-8.400698784e+00	5.677794428e+00	-3.973484942e+00	-4.681279833e+00	-3.469243682e+00	-2.778557049e+00	-2.513315290e+00	-1.616963669e+00	-1.498354813e+00
Group:M	-5.029249186e+01	-6.609071327e+00	2.297836026e+00	-2.114693341e+00	-2.110217148e+00	-1.249717325e+00	-9.463374450e-01	-9.547827092e-01	-6.552608606e-01	-6.443749500e-01
Group:M	-5.029249186e+01	-8.636088930e+00	5.624109206e+00	-4.399887875e+00	-4.641228063e+00	-4.028182795e+00	-3.050918170e+00	-2.755472326e+00	-1.801118881e+00	-1.792376462e+00
Group:M	-5.029249186e+01	-6.173522274e+00	3.710811400e+00	-1.911271443e+00	-2.679970552e+00	-2.515272846e+00	-2.240693220e+00	-2.199094238e+00	-1.342315462e+00	-1.178608812e+00
Group:M	-5.029249186e+01	-3.744206737e-01	1.665584510e+00	9.327324574e-01	-3.263187499e-01	-2.547634079e-02	1.239912901e+00	1.466881835e+00	9.459306150e-01	8.263581839e-01
Group:M	-5.029249186e+01	-1.337139563e+01	6.264266804e+00	-5.718161177e+00	-5.473685288e+00	-4.433084714e+00	-2.989409497e+00	-3.099280379e+00	-2.147581891e+00	-2.021129435e+00
Group:M	-5.029249186e+01	-6.726986323e+00	3.600654049e+00	-2.952072092e+00	-3.094282563e+00	-1.956816827e+00	-1.203645424e+00	-1.163945626e+00	-1.007992100e+00	-9.064708492e-01
Group:M	-5.029249186e+01	2.926298672e+00	1.891322761e+00	-2.723228501e+00	-2.418824114e+00	-3.009879133e+00	-1.551903924e+00	-1.484650658e+00	-1.199471387e+00	-1.292410908e+00
Group:M	-5.029249186e+01	-1.195500293e+01	7.019625552e+00	-6.576825863e+00	-5.448927096e+00	-4.049516830e+00	-3.315832960e+00	-3.848526875e+00	-2.487555740e+00	-2.170734157e+00
Group:M	-5.029249186e+01	-4.341943461e+00	3.691043265e+00	-2.040654588e+00	-3.176567919e+00	-2.636959724e+00	-1.731579069e+00	-1.907202446e+00	-1.239543674e+00	-1.222954192e+00
Group:M	-5.029249186e+01	-3.894212071e+00	1.988468127e+00	-1.984774200e-01	-8.579684306e-01	-9.841593855e-01	-3.818045218e-01	-3.166587645e-01	-1.438777846e-01	-5.633288069e-03
Group:M	-5.029249186e+01	-1.140979192e+01	5.470973987e+00	-4.679614046e+00	-4.132103190e+00	-2.904094612e+00	-1.988926835e+00	-1.889059080e+00	-1.227002664e+00	-1.208482058e+00
Group:M	-5.029249186e+01	-2.978629259e+00	1.445692632e+00	-3.658484838e-01	-7.336164642e-01	-6.363069316e-01	-5.091400508e-01	-2.066170505e-01	-9.612179024e-02	-1.519350326e-01
Group:M	-5.029249186e+01	-3.430391537e-01	-1.561123312e+00	1.091312654e+00	1.744856893e+00	1.958756815e+00	1.583130406e+00	1.596853701e+00	8.832481271e-01	6.726918287e-01
Group:B	2.972469407e+01	5.016740747e+00	-3.176456253e+00	2.973697358e+00	3.378500665e+00	3.549923445e+00	2.482509076e+00	2.621517693e+00	1.733449136e+00	1.600855734e+00
Group:B	2.972469407e+01	4.120847696e+00	-2.489773534e+00	2.262856446e+00	9.529011564e-01	1.799039176e-01	-3.924897157e-01	-4.314519968e-01	-3.350374239e-01	-2.973168059e-01
Group:B	2.972469407e+01	-1.095392640e+00	1.709301399e+00	-1.698312176e+00	-1.667928499e+00	-1.002732063e+00	-1.030660534e+00	-8.478424151e-01	-5.516732713e-01	-6.027417496e-01
Group:M	-5.029249186e+01	-3.530113503e+00	3.514969410e+00	-2.694185301e+00	-3.089040555e+00	-1.788618674e+00	-1.692497905e+00	-1.771690986e+00	-1.322726009e+00	-1.033316435e+00
Group:M	-5.029249186e+01	-1.430394100e+00	-1.663725405e+00	1.195404677e+00	1.531179454e+00	1.222151641e+00	9.046976235e-01	8.186939150e-01	3.114922309e-01	1.485664088e-01
Group:M	-5.029249186e+01	-8.739093758e-01	-8.254735954e-01	1.188315112e+00	1.240492414e+00	1.091055181e+00	8.194200640e-01	1.140513743e+00	5.236923928e-01	3.979511349e-01
Group:M	-5.029249186e+01	1.871360575e+00	3.066141209e-01	-1.897929330e-01	-3.068289849e-01	7.390166227e-02	2.004352524e-01	1.099692608e+00	8.412719117e-01	8.384772126e-01
Group:M	-5.029249186e+01	-4.845619521e+00	2.177611266e+00	-5.161843470e-01	-1.133622253e+00	-5.138754865e-01	3.466532486e-02	1.952144944e-01	6.860958237e-02	1.232132702e-02
Group:M	-5.029249186e+01	-5.906354683e+00	3.603267054e+00	-3.875375768e+00	-2.603561131e+00	-1.709152003e+00	-1.174425674e+00	-1.126201055e+00	-6.045216176e-01	-5.826363365e-01
Group:M	-5.029249186e+01	-3.294311860e+00	8.115100771e-01	4.065660879e-01	6.481127340e-02	-1.038166426e-01	-3.651421565e-03	-8.385962329e-02	-7.176933494e-02	-1.085464242e-02
Group:M	-5.029249186e+01	-8.897148475e+00	5.329781849e+00	-5.640555233e+00	-5.872858398e+00	-4.367104592e+00	-3.424063763e+00	-3.368803392e+00	-2.160282058e+00	-1.969561855e+00
