	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Group:Group:E_1P	2.402418628e-01	2.977327948e-01	-2.731513081e-03	1.165044315e-01	6.037727490e-02	-1.616165193e-02	1.157765379e-01	3.537931341e-01	-9.404784493e-02	-1.701004806e-01
Group:Group:E_2P	1.825990515e-01	1.038554197e-01	9.491432068e-02	1.389101789e-01	1.355355068e-01	4.174016380e-01	3.702716181e-02	-3.821137816e-01	3.397731436e-01	9.204755717e-02
Group:Group:E_3P	1.997680791e-01	3.708094505e-01	8.212364325e-02	-5.901150791e-05	-2.135918008e-02	9.590458273e-02	-3.037273776e-02	-2.281485647e-01	-4.017875642e-01	-3.556802593e-02
Group:Group:E_4P	2.359119045e-01	3.844538211e-01	6.696507947e-02	-2.649545160e-02	-2.361616308e-01	3.986766457e-02	1.633599474e-01	1.630510752e-01	6.523570845e-02	2.453460249e-01
Group:Group:E_5P	1.815504075e-01	1.361708224e-01	8.005383831e-02	1.990708769e-01	2.393942407e-01	2.650868620e-02	-1.216165915e-01	2.331554983e-01	7.226028509e-02	4.017295533e-02
Group:Group:E_6P	1.659663804e-01	1.363637361e-01	4.446099826e-02	1.435381727e-01	3.306051472e-01	-3.902112772e-02	-7.552554638e-02	3.093560803e-02	1.759694288e-01	1.556097295e-01
Group:Group:A_1P	3.354454845e-01	-1.517728374e-01	-1.607125650e-01	-3.212358683e-01	-3.040468608e-01	1.655453746e-01	2.582835529e-01	-2.490794744e-01	9.215044570e-02	-2.621285157e-01
Group:Group:A_2P	1.903199410e-01	-4.615540955e-01	-1.434958966e-01	-7.854800273e-02	4.052268284e-01	1.606301456e-01	3.253844191e-01	1.588458822e-01	-3.046566852e-01	-5.183768313e-02
Group:Group:A_3P	2.284283805e-01	-2.374841258e-01	-2.650509968e-02	2.515022066e-02	3.602220695e-02	1.261751249e-02	-1.891930146e-01	1.272602503e-01	3.163156412e-02	-7.388244516e-02
Group:Group:A_4P	2.378478500e-01	-2.058472800e-01	7.959276507e-03	-5.870814769e-02	-2.294214499e-01	-2.461743380e-01	-9.102281882e-02	-1.487678044e-01	3.388271527e-02	1.858339925e-01
Group:Group:A_5P	2.412675302e-01	-1.067074848e-01	-3.413238355e-02	1.878347648e-02	-1.157890048e-01	-4.576098017e-01	-2.568477618e-01	6.447959586e-02	-1.003527101e-01	-1.577506798e-01
Group:Group:A_6P	2.070773217e-01	-2.015354412e-01	-5.479621015e-02	6.640739007e-02	-8.052369075e-02	-9.163263553e-02	-2.592220442e-01	-9.184589569e-02	5.451713835e-02	1.502318116e-01
Group:Group:B_1P	-1.503524634e-01	-3.242060463e-02	-8.235394618e-02	1.695120800e-01	-1.885910713e-01	1.503273672e-01	-2.875623491e-01	-2.724819784e-01	-1.010249830e-01	1.324317626e-01
Group:Group:B_2P	-1.708847461e-01	1.322849219e-01	-3.881523321e-01	3.378076971e-01	3.193450069e-02	-8.174872646e-02	1.769218333e-01	-1.735855693e-01	-1.376327014e-04	-3.549937394e-01
Group:Group:B_3P	-1.690259077e-01	-4.611332198e-02	-3.481301551e-01	-3.046709608e-02	9.054848722e-02	2.021776856e-01	-9.357714751e-02	8.278838227e-02	8.028742748e-02	1.499934336e-01
Group:Group:B_4P	-1.674752531e-01	-3.463157109e-02	-6.775277774e-02	7.562076380e-02	1.146441799e-01	1.491838571e-01	-3.244319007e-01	-3.518997208e-02	2.770416521e-02	-9.651302498e-02
Group:Group:B_5P	-1.566785240e-01	6.022684632e-04	-2.318360743e-01	2.374710430e-03	7.328387080e-02	5.424543748e-02	-1.155089527e-01	1.366860956e-01	-2.505463740e-01	2.040491952e-01
Group:Group:B_6P	-1.663550964e-01	1.940227393e-01	-4.719832306e-01	-1.262457439e-01	-1.640171277e-01	-1.902049116e-01	1.551445890e-01	-1.075886336e-02	-3.734705692e-02	2.895501750e-01
Group:Group:C_1P	-1.389947481e-01	-1.706675641e-01	1.004192155e-01	3.958766301e-01	3.833927428e-02	-2.234059374e-01	4.655199273e-01	-1.711495363e-01	6.521943060e-02	1.261024198e-01
Group:Group:C_2P	-1.313352166e-01	-4.295961078e-02	1.860756386e-01	1.733304849e-01	-5.465966773e-02	-2.052359922e-01	4.099771965e-02	7.853706826e-02	1.255477157e-01	-1.171581055e-01
Group:Group:C_3P	-1.603357117e-01	-1.489444098e-01	2.714112812e-02	1.296352540e-01	-1.974055106e-01	1.714323968e-01	-1.171379816e-01	2.812284898e-01	1.662229779e-01	-2.094300366e-01
Group:Group:C_4P	-1.589858950e-01	-9.036405034e-02	4.208117959e-01	1.096945359e-01	-1.027743703e-01	7.599761150e-02	2.365310707e-02	-9.052419091e-02	-5.472918729e-01	1.689323647e-01
