	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Group:Group:E_1P	7.286477685e+00	8.927762798e+00	1.462959723e+00	2.066808139e+00	-7.810926402e-03	1.972281413e-01	9.522918640e-01	3.111098144e-01	2.188234050e-01	-3.590296641e-01
Group:Group:E_2P	7.286477685e+00	8.857728002e+00	1.926157975e+00	3.131526348e+00	2.447079819e+00	1.522490247e+00	-4.499367494e-01	-8.771534885e-01	5.680175404e-01	1.001564067e-01
Group:Group:E_3P	7.286477685e+00	8.878588008e+00	1.302996567e+00	2.173751683e+00	-1.538723525e+00	7.997660026e-01	1.083725481e-01	4.416062043e-01	-6.301589697e-01	-1.126526084e-01
Group:Group:E_4P	7.286477685e+00	8.922501990e+00	1.262853103e+00	2.019319955e+00	-1.969499155e+00	6.471877065e-01	-1.707349046e-01	-5.978242648e-01	-4.880298724e-02	3.718398966e-01
Group:Group:E_5P	7.286477685e+00	8.856453922e+00	1.851458158e+00	2.975978722e+00	2.518315836e+00	8.625668365e-01	2.739902946e-01	7.214431225e-01	3.049440887e-01	2.371245804e-01
Group:Group:E_6P	7.286477685e+00	8.837519659e+00	1.854675332e+00	2.881081030e+00	2.160579612e+00	1.451701163e+00	1.052127924e+00	1.513810240e+00	-2.102293328e-01	9.397914186e-01
Group:Group:A_1P	8.702335152e+00	-7.838719309e+00	-2.214136682e+00	-2.678576708e+00	-3.197566823e+00	6.798815420e-01	3.890893853e-01	-7.819678157e-01	-1.101142043e-02	5.475866493e-02
Group:Group:A_2P	8.702335152e+00	-8.015043773e+00	-1.461560709e+00	-1.357418479e+00	2.322963995e+00	1.457312910e+00	1.239025948e+00	2.896679836e-02	-2.553297801e-01	-2.262365925e-01
Group:Group:A_3P	8.702335152e+00	-7.968742826e+00	-1.990188610e+00	-1.771155590e+00	4.846933082e-01	-1.348254478e+00	-8.058600952e-01	-2.454430180e-01	9.586309552e-02	-8.519754704e-01
Group:Group:A_4P	8.702335152e+00	-7.957298370e+00	-2.065776282e+00	-1.775892871e+00	-4.834140700e-01	-1.087129014e+00	-1.331851494e+00	-6.059212351e-01	-9.014187204e-02	6.992623804e-01
Group:Group:A_5P	8.702335152e+00	-7.953143531e+00	-2.296507039e+00	-2.252056495e+00	-1.041303120e+00	-2.383070531e+00	-5.382813817e-01	6.959794221e-01	-3.905003960e-01	9.195368246e-02
Group:Group:A_6P	8.702335152e+00	-7.994683910e+00	-2.068540681e+00	-1.951103758e+00	4.326432461e-01	-2.178717159e+00	-8.844664153e-01	-2.021834621e-01	4.560459423e-01	-8.560259230e-01
Group:Group:B_1P	-5.925497444e+00	1.108697549e+00	-9.496964022e+00	2.663321200e+00	1.685475107e+00	-5.267701852e-02	-3.594286919e+00	-2.076484366e+00	2.196678376e-01	3.045870888e-01
